Town,Median household income
Andover,100321
Ansonia,43305
Ashford,77870
Avon,123894
Barkhamsted,95735
Beacon Falls,83155
Berlin,87810
Bethany,97254
Bethel,92125
Bethlehem,84306
Bloomfield,72762
Bolton,97019
Bozrah,77045
Branford,71938
Bridgeport,41801
Bridgewater,98424
Bristol,61478
Brookfield,112684
Brooklyn,60694
Burlington,113472
Canaan,72321
Canterbury,83862
Canton,87326
Chaplin,67054
Cheshire,106489
Chester,78750
Clinton,71455
Colchester,97313
Colebrook,81172
Columbia,89986
Cornwall,75833
Coventry,90309
Cromwell,82081
Danbury,66676
Darien,208906
Deep River,69395
Derby,51596
Durham,113152
Eastford,72684
East Granby,82117
East Haddam,96299
East Hampton,48369
East Hartford,63120
East Haven,84029
East Lyme,74798
Easton,78466
East Windsor,131189
Ellington,85545
Enfield,67377
Essex,86376
Fairfield,122306
Farmington,91712
Franklin,87708
Glastonbury,109018
Goshen,92361
Granby,102671
Greenwich,128153
Griswold,59153
Groton,62137
Guilford,99132
Haddam,99866
Hamden,70791
Hampton,76625
Hartford,30630
Hartland,91964
Harwinton,91875
Hebron,105104
Kent,60714
Killingly,55764
Killingworth,112137
Lebanon,89375
Ledyard,84825
Lisbon,81200
Litchfield,82361
Lyme,81650
Madison,107183
Manchester,63158
Mansfield,60263
Marlborough,108698
Meriden,54588
Middlebury,97756
Middlefield,102426
Middletown,63691
Milford,80247
Monroe,110558
Montville,70036
Morris,83750
Naugatuck,58078
New Britain,40457
New Canaan,168311
New Fairfield,101273
New Hartford,87596
New Haven,37192
Newington,36250
New London,78343
New Milford,79960
Newtown,111022
Norfolk,72875
North Branford,84697
North Canaan,69231
North Haven,86340
North Stonington,75954
Norwalk,76987
Norwich,50078
Old Lyme,87025
Old Saybrook,71796
Orange,107047
Oxford,97296
Plainfield,60673
Plainville,58500
Plymouth,70167
Pomfret,91053
Portland,90417
Preston,69275
Prospect,102397
Putnam,51621
Redding,121270
Ridgefield,145902
Rocky Hill,81576
Roxbury,96875
Salem,105326
Salisbury,82794
Scotland,79896
Seymour,76991
Sharon,74625
Shelton,86870
Sherman,108398
Simsbury,113355
Somers,95605
Southbury,97389
Southington,84058
South Windsor,82704
Sprague,64063
Stafford,62371
Stamford,79359
Sterling,72220
Stonington,77295
Stratford,66886
Suffield,99707
Thomaston,67191
Thompson,69924
Tolland,110593
Torrington,56264
Trumbull,111312
Union,95865
Vernon,59961
Voluntown,76012
Wallingford,74060
Warren,90865
Washington,81354
Waterbury,40467
Waterford,75956
Watertown,78722
Westbrook,86569
West Hartford,50846
West Haven,78346
Weston,217171
Westport,162907
Wethersfield,77195
Willington,73526
Wilton,172095
Winchester,52757
Windham,41398
Windsor,81982
Windsor Locks,68944
Wolcott,80323
Woodbridge,133412
Woodbury,80350
Woodstock,78594
