Code,Service District Code,Municipality,2013 Rate
117,,Redding Georgetown FD,1.2806
118,0,Ridgefield,26.01
119,0,Rocky Hill,29.7
120,0,Roxbury,13.4
121,0,Salem,31.1
122,0,Salisbury,10.5
123,0,Scotland,35
124,0,Seymour,34.04
125,0,Sharon,13.25
126,0,Shelton,22.31
127,0,Sherman,19.84
128,0,Simsbury,37.14
128,1,Simsbury - Fire District,1.19
129,0,Somers,23.37
130,0,Southbury,27.6
131,0,Southington,28.36
132,0,South Windsor,35.51
133,0,Sprague,31
134,0,Stafford,33.03
134,1,"Stafford, Special Service District",2.22
135,0,Stamford Motor Vehicles,27.25
135,1,"Stamford ""A""",24.79
135,2,"Stamford ""B""",24.24
135,3,"Stamford ""C""",23.31
135,4,"Stamford ""CS""",23.79
135,5,Stamford Pprop Other than MV,24.79
136,0,Sterling,31.5
136,1,"Sterling, Fire District",1.7
137,0,Stonington,20.43
137,1,Stonington Mystic FD #239,1.82
137,2,Stonington Pawcatuck FD #264,1.56
137,3,Stonington Quiambaug FD #378,0.8
137,4,Stonington FD #265,0.7
137,5,Stonington Wequetequock FD #379,Not Avail.
137,6,Stonington Old Mystic FD #366,2.8
137,7,Stonington Lords Point Assoc.,1.993
137,8,Stonington Mason's Island,Not Avail.
137,9,Stonington Wamphassuk Point Assoc.,0.417
137,10,Stonington Latimer Point,Not Avail.
138,0,Stratford,35.63
139,0,Suffield,27.12
140,0,Thomaston,33.63
141,0,Thompson,22.87
142,0,Tolland,31.05
143,0,Torrington,Not Avail.
144,0,Trumbull,32.161
144,1,Trumbull Long Hill FD,0.6
144,2,Trumbull Center FD,Not Avail.
144,3,Trumbull Nichols FD,Not Avail.
145,0,Union,29
146,0,Vernon,36.11
147,0,Voluntown,24.25
148,0,Wallingford,26.89
149,0,Warren,14.2
150,0,Washington,13.5
151,0,Waterbury,58.22
152,0,Waterford,24.8
153,0,Watertown,Not Avail.
154,0,Westbrook,21.79
155,0,West Hartford,37.37
156,0,West Haven,31.25
156,1,"West Haven, First Center",8.85
156,0,"West Haven, West Shore (2d)",8.63
156,0,"West Haven, Allingtown (Third)",8.63
157,0,Weston,28.24
157,,Weston - Georgetown FD,1.1191
158,0,Westport,17.94
159,0,Wethersfield,36.74
160,0,Willington,27.34
161,0,Wilton,26.5132
161,,Wilton - Georgetown FD,1.3135
162,0,Winchester,31.91
163,0,Windham,Not Avail.
163,1,"Windham, Special Service Dist. #2 ",Not Avail.
