Town,Year,Variable,Value
Andover,SFY 2000-2001,Actual Mill Rate,28.6
Ansonia,SFY 2000-2001,Actual Mill Rate,31.4
Ashford,SFY 2000-2001,Actual Mill Rate,31
Avon,SFY 2000-2001,Actual Mill Rate,24.5
Barkhamsted,SFY 2000-2001,Actual Mill Rate,28
Beacon Falls,SFY 2000-2001,Actual Mill Rate,24.5
Berlin,SFY 2000-2001,Actual Mill Rate,30.3
Bethany,SFY 2000-2001,Actual Mill Rate,29.23
Bethel,SFY 2000-2001,Actual Mill Rate,28.06
Bethlehem,SFY 2000-2001,Actual Mill Rate,23.79
Bloomfield,SFY 2000-2001,Actual Mill Rate,26.69
Bolton,SFY 2000-2001,Actual Mill Rate,31.35
Bozrah,SFY 2000-2001,Actual Mill Rate,23
Branford,SFY 2000-2001,Actual Mill Rate,26.19
Bridgeport,SFY 2000-2001,Actual Mill Rate,65
Bridgewater,SFY 2000-2001,Actual Mill Rate,23
Bristol,SFY 2000-2001,Actual Mill Rate,29.55
Brookfield,SFY 2000-2001,Actual Mill Rate,26.9
Brooklyn,SFY 2000-2001,Actual Mill Rate,21.97
Burlington,SFY 2000-2001,Actual Mill Rate,27.75
Canaan,SFY 2000-2001,Actual Mill Rate,31.25
Canterbury,SFY 2000-2001,Actual Mill Rate,24.16
Canton,SFY 2000-2001,Actual Mill Rate,30.25
Chaplin,SFY 2000-2001,Actual Mill Rate,29.33
Cheshire,SFY 2000-2001,Actual Mill Rate,30
Chester,SFY 2000-2001,Actual Mill Rate,24.5
Clinton,SFY 2000-2001,Actual Mill Rate,29.35
Colchester,SFY 2000-2001,Actual Mill Rate,27.53
Colebrook,SFY 2000-2001,Actual Mill Rate,26.3
Columbia,SFY 2000-2001,Actual Mill Rate,27
Cornwall,SFY 2000-2001,Actual Mill Rate,19
Coventry,SFY 2000-2001,Actual Mill Rate,26.59
Cromwell,SFY 2000-2001,Actual Mill Rate,28.14
Danbury,SFY 2000-2001,Actual Mill Rate,23.19
Darien,SFY 2000-2001,Actual Mill Rate,13.06
Deep River,SFY 2000-2001,Actual Mill Rate,25.4
Derby,SFY 2000-2001,Actual Mill Rate,33.2
Durham,SFY 2000-2001,Actual Mill Rate,29.8
Eastford,SFY 2000-2001,Actual Mill Rate,32.5
East Granby,SFY 2000-2001,Actual Mill Rate,26.6
East Haddam,SFY 2000-2001,Actual Mill Rate,29.23
East Hampton,SFY 2000-2001,Actual Mill Rate,25.46
East Hartford,SFY 2000-2001,Actual Mill Rate,37.62
East Haven,SFY 2000-2001,Actual Mill Rate,36.95
East Lyme,SFY 2000-2001,Actual Mill Rate,28.8
Easton,SFY 2000-2001,Actual Mill Rate,26.7
East Windsor,SFY 2000-2001,Actual Mill Rate,27.38
Ellington,SFY 2000-2001,Actual Mill Rate,27.8
Enfield,SFY 2000-2001,Actual Mill Rate,30.87
Essex,SFY 2000-2001,Actual Mill Rate,16.75
Fairfield,SFY 2000-2001,Actual Mill Rate,27.6
Farmington,SFY 2000-2001,Actual Mill Rate,23.6
Franklin,SFY 2000-2001,Actual Mill Rate,25.8
Glastonbury,SFY 2000-2001,Actual Mill Rate,32.9
Goshen,SFY 2000-2001,Actual Mill Rate,23.8
Granby,SFY 2000-2001,Actual Mill Rate,34.46
Greenwich,SFY 2000-2001,Actual Mill Rate,18.12
Griswold,SFY 2000-2001,Actual Mill Rate,24.75
Groton,SFY 2000-2001,Actual Mill Rate,23.5
Guilford,SFY 2000-2001,Actual Mill Rate,30.84
Haddam,SFY 2000-2001,Actual Mill Rate,31.5
Hamden,SFY 2000-2001,Actual Mill Rate,34.46
Hampton,SFY 2000-2001,Actual Mill Rate,35.75
Hartford,SFY 2000-2001,Actual Mill Rate,47
Hartland,SFY 2000-2001,Actual Mill Rate,24.25
Harwinton,SFY 2000-2001,Actual Mill Rate,28.7
Hebron,SFY 2000-2001,Actual Mill Rate,31.21
Kent,SFY 2000-2001,Actual Mill Rate,18.23
Killingly,SFY 2000-2001,Actual Mill Rate,20.5
Killingworth,SFY 2000-2001,Actual Mill Rate,28.7
Lebanon,SFY 2000-2001,Actual Mill Rate,24.1
Ledyard,SFY 2000-2001,Actual Mill Rate,31.81
Lisbon,SFY 2000-2001,Actual Mill Rate,18
Litchfield,SFY 2000-2001,Actual Mill Rate,24.25
Lyme,SFY 2000-2001,Actual Mill Rate,16
Madison,SFY 2000-2001,Actual Mill Rate,25.36
Manchester,SFY 2000-2001,Actual Mill Rate,24.79
Mansfield,SFY 2000-2001,Actual Mill Rate,26.13
Marlborough,SFY 2000-2001,Actual Mill Rate,31.5
Meriden,SFY 2000-2001,Actual Mill Rate,40.4
Middlebury,SFY 2000-2001,Actual Mill Rate,32.05
Middlefield,SFY 2000-2001,Actual Mill Rate,30.28
Middletown,SFY 2000-2001,Actual Mill Rate,29
Milford,SFY 2000-2001,Actual Mill Rate,30.89
Monroe,SFY 2000-2001,Actual Mill Rate,26.53
Montville,SFY 2000-2001,Actual Mill Rate,26.9
Morris,SFY 2000-2001,Actual Mill Rate,26.48
Naugatuck,SFY 2000-2001,Actual Mill Rate,55.6
New Britain,SFY 2000-2001,Actual Mill Rate,49.98
New Canaan,SFY 2000-2001,Actual Mill Rate,19.7
New Fairfield,SFY 2000-2001,Actual Mill Rate,28.93
New Hartford,SFY 2000-2001,Actual Mill Rate,29.5
New Haven,SFY 2000-2001,Actual Mill Rate,34.95
Newington,SFY 2000-2001,Actual Mill Rate,27.75
New London,SFY 2000-2001,Actual Mill Rate,33.5
New Milford,SFY 2000-2001,Actual Mill Rate,29.11
Newtown,SFY 2000-2001,Actual Mill Rate,29.5
Norfolk,SFY 2000-2001,Actual Mill Rate,23.57
North Branford,SFY 2000-2001,Actual Mill Rate,29.62
North Canaan,SFY 2000-2001,Actual Mill Rate,22.8
North Haven,SFY 2000-2001,Actual Mill Rate,25.34
North Stonington,SFY 2000-2001,Actual Mill Rate,26.5
Norwalk,SFY 2000-2001,Actual Mill Rate,42.75
Norwich,SFY 2000-2001,Actual Mill Rate,34.03
Old Lyme,SFY 2000-2001,Actual Mill Rate,21.5
Old Saybrook,SFY 2000-2001,Actual Mill Rate,19.3
Orange,SFY 2000-2001,Actual Mill Rate,25.5
Oxford,SFY 2000-2001,Actual Mill Rate,32.69
Plainfield,SFY 2000-2001,Actual Mill Rate,25.9
Plainville,SFY 2000-2001,Actual Mill Rate,29.39
Plymouth,SFY 2000-2001,Actual Mill Rate,36.3
Pomfret,SFY 2000-2001,Actual Mill Rate,22.35
Portland,SFY 2000-2001,Actual Mill Rate,32.46
Preston,SFY 2000-2001,Actual Mill Rate,21
Prospect,SFY 2000-2001,Actual Mill Rate,29.3
Putnam,SFY 2000-2001,Actual Mill Rate,16.5
Redding,SFY 2000-2001,Actual Mill Rate,25.4
Ridgefield,SFY 2000-2001,Actual Mill Rate,23.25
Rocky Hill,SFY 2000-2001,Actual Mill Rate,26.8
Roxbury,SFY 2000-2001,Actual Mill Rate,19.54
Salem,SFY 2000-2001,Actual Mill Rate,30.25
Salisbury,SFY 2000-2001,Actual Mill Rate,15.5
Scotland,SFY 2000-2001,Actual Mill Rate,31.2
Seymour,SFY 2000-2001,Actual Mill Rate,30.8
Sharon,SFY 2000-2001,Actual Mill Rate,16.4
Shelton,SFY 2000-2001,Actual Mill Rate,24.6
Sherman,SFY 2000-2001,Actual Mill Rate,18.4
Simsbury,SFY 2000-2001,Actual Mill Rate,34.4
Somers,SFY 2000-2001,Actual Mill Rate,24.26
Southbury,SFY 2000-2001,Actual Mill Rate,23.2
Southington,SFY 2000-2001,Actual Mill Rate,26.9
South Windsor,SFY 2000-2001,Actual Mill Rate,34.68
Sprague,SFY 2000-2001,Actual Mill Rate,23.25
Stafford,SFY 2000-2001,Actual Mill Rate,24.98
Stamford,SFY 2000-2001,Actual Mill Rate,23.87
Sterling,SFY 2000-2001,Actual Mill Rate,23
Stonington,SFY 2000-2001,Actual Mill Rate,25.71
Stratford,SFY 2000-2001,Actual Mill Rate,35.27
Suffield,SFY 2000-2001,Actual Mill Rate,26.54
Thomaston,SFY 2000-2001,Actual Mill Rate,30.6
Thompson,SFY 2000-2001,Actual Mill Rate,19.89
Tolland,SFY 2000-2001,Actual Mill Rate,30.37
Torrington,SFY 2000-2001,Actual Mill Rate,34.28
Trumbull,SFY 2000-2001,Actual Mill Rate,26.7
Union,SFY 2000-2001,Actual Mill Rate,22.66
Vernon,SFY 2000-2001,Actual Mill Rate,30.11
Voluntown,SFY 2000-2001,Actual Mill Rate,24.5
Wallingford,SFY 2000-2001,Actual Mill Rate,25.9
Warren,SFY 2000-2001,Actual Mill Rate,21.75
Washington,SFY 2000-2001,Actual Mill Rate,15.25
Waterbury,SFY 2000-2001,Actual Mill Rate,80.52
Waterford,SFY 2000-2001,Actual Mill Rate,16.4
Watertown,SFY 2000-2001,Actual Mill Rate,23.56
Westbrook,SFY 2000-2001,Actual Mill Rate,22
West Hartford,SFY 2000-2001,Actual Mill Rate,34.36
West Haven,SFY 2000-2001,Actual Mill Rate,34.28
Weston,SFY 2000-2001,Actual Mill Rate,21.23
Westport,SFY 2000-2001,Actual Mill Rate,15.9
Wethersfield,SFY 2000-2001,Actual Mill Rate,30.81
Willington,SFY 2000-2001,Actual Mill Rate,25.7
Wilton,SFY 2000-2001,Actual Mill Rate,25.91
Winchester,SFY 2000-2001,Actual Mill Rate,33.17
Windham,SFY 2000-2001,Actual Mill Rate,26.34
Windsor,SFY 2000-2001,Actual Mill Rate,29.7
Windsor Locks,SFY 2000-2001,Actual Mill Rate,21.21
Wolcott,SFY 2000-2001,Actual Mill Rate,29.68
Woodbridge,SFY 2000-2001,Actual Mill Rate,31.59
Woodbury,SFY 2000-2001,Actual Mill Rate,23.9
Woodstock,SFY 2000-2001,Actual Mill Rate,25.7
Andover,SFY 2000-2001,Equalized Mill Rate,17.57
Ansonia,SFY 2000-2001,Equalized Mill Rate,20.14
Ashford,SFY 2000-2001,Equalized Mill Rate,20.6
Avon,SFY 2000-2001,Equalized Mill Rate,17.2
Barkhamsted,SFY 2000-2001,Equalized Mill Rate,19.6
Beacon Falls,SFY 2000-2001,Equalized Mill Rate,14.02
Berlin,SFY 2000-2001,Equalized Mill Rate,18.6
Bethany,SFY 2000-2001,Equalized Mill Rate,20.33
Bethel,SFY 2000-2001,Equalized Mill Rate,16.98
Bethlehem,SFY 2000-2001,Equalized Mill Rate,16.76
Bloomfield,SFY 2000-2001,Equalized Mill Rate,21.71
Bolton,SFY 2000-2001,Equalized Mill Rate,21.8
Bozrah,SFY 2000-2001,Equalized Mill Rate,11.97
Branford,SFY 2000-2001,Equalized Mill Rate,17.78
Bridgeport,SFY 2000-2001,Equalized Mill Rate,28.19
Bridgewater,SFY 2000-2001,Equalized Mill Rate,13.17
Bristol,SFY 2000-2001,Equalized Mill Rate,18.52
Brookfield,SFY 2000-2001,Equalized Mill Rate,14.64
Brooklyn,SFY 2000-2001,Equalized Mill Rate,15.92
Burlington,SFY 2000-2001,Equalized Mill Rate,19.7
Canaan,SFY 2000-2001,Equalized Mill Rate,17.24
Canterbury,SFY 2000-2001,Equalized Mill Rate,16.66
Canton,SFY 2000-2001,Equalized Mill Rate,21.48
Chaplin,SFY 2000-2001,Equalized Mill Rate,20.6
Cheshire,SFY 2000-2001,Equalized Mill Rate,20.8
Chester,SFY 2000-2001,Equalized Mill Rate,17.04
Clinton,SFY 2000-2001,Equalized Mill Rate,18.54
Colchester,SFY 2000-2001,Equalized Mill Rate,19.02
Colebrook,SFY 2000-2001,Equalized Mill Rate,20.86
Columbia,SFY 2000-2001,Equalized Mill Rate,17.94
Cornwall,SFY 2000-2001,Equalized Mill Rate,12.33
Coventry,SFY 2000-2001,Equalized Mill Rate,18.18
Cromwell,SFY 2000-2001,Equalized Mill Rate,18.17
Danbury,SFY 2000-2001,Equalized Mill Rate,16.1
Darien,SFY 2000-2001,Equalized Mill Rate,9.1
Deep River,SFY 2000-2001,Equalized Mill Rate,15.24
Derby,SFY 2000-2001,Equalized Mill Rate,21.12
Durham,SFY 2000-2001,Equalized Mill Rate,19.53
Eastford,SFY 2000-2001,Equalized Mill Rate,19.2
East Granby,SFY 2000-2001,Equalized Mill Rate,17.84
East Haddam,SFY 2000-2001,Equalized Mill Rate,17.01
East Hampton,SFY 2000-2001,Equalized Mill Rate,19.41
East Hartford,SFY 2000-2001,Equalized Mill Rate,27.15
East Haven,SFY 2000-2001,Equalized Mill Rate,23.95
East Lyme,SFY 2000-2001,Equalized Mill Rate,16.99
Easton,SFY 2000-2001,Equalized Mill Rate,13.63
East Windsor,SFY 2000-2001,Equalized Mill Rate,17.13
Ellington,SFY 2000-2001,Equalized Mill Rate,20.8
Enfield,SFY 2000-2001,Equalized Mill Rate,20.08
Essex,SFY 2000-2001,Equalized Mill Rate,11.69
Fairfield,SFY 2000-2001,Equalized Mill Rate,13.05
Farmington,SFY 2000-2001,Equalized Mill Rate,14.35
Franklin,SFY 2000-2001,Equalized Mill Rate,17.8
Glastonbury,SFY 2000-2001,Equalized Mill Rate,19.28
Goshen,SFY 2000-2001,Equalized Mill Rate,12.52
Granby,SFY 2000-2001,Equalized Mill Rate,21.41
Greenwich,SFY 2000-2001,Equalized Mill Rate,7.69
Griswold,SFY 2000-2001,Equalized Mill Rate,15.42
Groton,SFY 2000-2001,Equalized Mill Rate,12.09
Guilford,SFY 2000-2001,Equalized Mill Rate,16.45
Haddam,SFY 2000-2001,Equalized Mill Rate,20.89
Hamden,SFY 2000-2001,Equalized Mill Rate,23.61
Hampton,SFY 2000-2001,Equalized Mill Rate,25.35
Hartford,SFY 2000-2001,Equalized Mill Rate,32.37
Hartland,SFY 2000-2001,Equalized Mill Rate,16.61
Harwinton,SFY 2000-2001,Equalized Mill Rate,18.86
Hebron,SFY 2000-2001,Equalized Mill Rate,18.99
Kent,SFY 2000-2001,Equalized Mill Rate,12.81
Killingly,SFY 2000-2001,Equalized Mill Rate,12.68
Killingworth,SFY 2000-2001,Equalized Mill Rate,16.28
Lebanon,SFY 2000-2001,Equalized Mill Rate,16.94
Ledyard,SFY 2000-2001,Equalized Mill Rate,19.04
Lisbon,SFY 2000-2001,Equalized Mill Rate,10.46
Litchfield,SFY 2000-2001,Equalized Mill Rate,16.96
Lyme,SFY 2000-2001,Equalized Mill Rate,11.19
Madison,SFY 2000-2001,Equalized Mill Rate,14.82
Manchester,SFY 2000-2001,Equalized Mill Rate,22.16
Mansfield,SFY 2000-2001,Equalized Mill Rate,18.05
Marlborough,SFY 2000-2001,Equalized Mill Rate,18.84
Meriden,SFY 2000-2001,Equalized Mill Rate,26.29
Middlebury,SFY 2000-2001,Equalized Mill Rate,18.11
Middlefield,SFY 2000-2001,Equalized Mill Rate,18.44
Middletown,SFY 2000-2001,Equalized Mill Rate,19.74
Milford,SFY 2000-2001,Equalized Mill Rate,17.74
Monroe,SFY 2000-2001,Equalized Mill Rate,18.58
Montville,SFY 2000-2001,Equalized Mill Rate,17.58
Morris,SFY 2000-2001,Equalized Mill Rate,16.81
Naugatuck,SFY 2000-2001,Equalized Mill Rate,19.75
New Britain,SFY 2000-2001,Equalized Mill Rate,31.84
New Canaan,SFY 2000-2001,Equalized Mill Rate,9.51
New Fairfield,SFY 2000-2001,Equalized Mill Rate,15.82
New Hartford,SFY 2000-2001,Equalized Mill Rate,20.6
New Haven,SFY 2000-2001,Equalized Mill Rate,29.74
Newington,SFY 2000-2001,Equalized Mill Rate,19.57
New London,SFY 2000-2001,Equalized Mill Rate,23.3
New Milford,SFY 2000-2001,Equalized Mill Rate,16.81
Newtown,SFY 2000-2001,Equalized Mill Rate,16.45
Norfolk,SFY 2000-2001,Equalized Mill Rate,16.48
North Branford,SFY 2000-2001,Equalized Mill Rate,18.1
North Canaan,SFY 2000-2001,Equalized Mill Rate,14.23
North Haven,SFY 2000-2001,Equalized Mill Rate,16.5
North Stonington,SFY 2000-2001,Equalized Mill Rate,18.85
Norwalk,SFY 2000-2001,Equalized Mill Rate,18.48
Norwich,SFY 2000-2001,Equalized Mill Rate,23.32
Old Lyme,SFY 2000-2001,Equalized Mill Rate,14.41
Old Saybrook,SFY 2000-2001,Equalized Mill Rate,13.36
Orange,SFY 2000-2001,Equalized Mill Rate,16.97
Oxford,SFY 2000-2001,Equalized Mill Rate,17.18
Plainfield,SFY 2000-2001,Equalized Mill Rate,16.61
Plainville,SFY 2000-2001,Equalized Mill Rate,21.56
Plymouth,SFY 2000-2001,Equalized Mill Rate,22.45
Pomfret,SFY 2000-2001,Equalized Mill Rate,14.99
Portland,SFY 2000-2001,Equalized Mill Rate,20.38
Preston,SFY 2000-2001,Equalized Mill Rate,13.95
Prospect,SFY 2000-2001,Equalized Mill Rate,16.48
Putnam,SFY 2000-2001,Equalized Mill Rate,11.11
Redding,SFY 2000-2001,Equalized Mill Rate,14.61
Ridgefield,SFY 2000-2001,Equalized Mill Rate,12.39
Rocky Hill,SFY 2000-2001,Equalized Mill Rate,18.75
Roxbury,SFY 2000-2001,Equalized Mill Rate,10.95
Salem,SFY 2000-2001,Equalized Mill Rate,19.04
Salisbury,SFY 2000-2001,Equalized Mill Rate,10.7
Scotland,SFY 2000-2001,Equalized Mill Rate,21.86
Seymour,SFY 2000-2001,Equalized Mill Rate,17.41
Sharon,SFY 2000-2001,Equalized Mill Rate,11.46
Shelton,SFY 2000-2001,Equalized Mill Rate,13.67
Sherman,SFY 2000-2001,Equalized Mill Rate,12.94
Simsbury,SFY 2000-2001,Equalized Mill Rate,20.08
Somers,SFY 2000-2001,Equalized Mill Rate,14.93
Southbury,SFY 2000-2001,Equalized Mill Rate,13.58
Southington,SFY 2000-2001,Equalized Mill Rate,16.93
South Windsor,SFY 2000-2001,Equalized Mill Rate,21.73
Sprague,SFY 2000-2001,Equalized Mill Rate,14.95
Stafford,SFY 2000-2001,Equalized Mill Rate,17.95
Stamford,SFY 2000-2001,Equalized Mill Rate,16.58
Sterling,SFY 2000-2001,Equalized Mill Rate,14.83
Stonington,SFY 2000-2001,Equalized Mill Rate,14.2
Stratford,SFY 2000-2001,Equalized Mill Rate,21.23
Suffield,SFY 2000-2001,Equalized Mill Rate,18.66
Thomaston,SFY 2000-2001,Equalized Mill Rate,20.53
Thompson,SFY 2000-2001,Equalized Mill Rate,13.67
Tolland,SFY 2000-2001,Equalized Mill Rate,18.78
Torrington,SFY 2000-2001,Equalized Mill Rate,23.44
Trumbull,SFY 2000-2001,Equalized Mill Rate,15.64
Union,SFY 2000-2001,Equalized Mill Rate,15.63
Vernon,SFY 2000-2001,Equalized Mill Rate,21.99
Voluntown,SFY 2000-2001,Equalized Mill Rate,16.14
Wallingford,SFY 2000-2001,Equalized Mill Rate,17.08
Warren,SFY 2000-2001,Equalized Mill Rate,8.86
Washington,SFY 2000-2001,Equalized Mill Rate,10.72
Waterbury,SFY 2000-2001,Equalized Mill Rate,29.64
Waterford,SFY 2000-2001,Equalized Mill Rate,11.06
Watertown,SFY 2000-2001,Equalized Mill Rate,15.85
Westbrook,SFY 2000-2001,Equalized Mill Rate,12.81
West Hartford,SFY 2000-2001,Equalized Mill Rate,23.91
West Haven,SFY 2000-2001,Equalized Mill Rate,23.48
Weston,SFY 2000-2001,Equalized Mill Rate,14.85
Westport,SFY 2000-2001,Equalized Mill Rate,11.13
Wethersfield,SFY 2000-2001,Equalized Mill Rate,21.48
Willington,SFY 2000-2001,Equalized Mill Rate,18.05
Wilton,SFY 2000-2001,Equalized Mill Rate,12.36
Winchester,SFY 2000-2001,Equalized Mill Rate,22.84
Windham,SFY 2000-2001,Equalized Mill Rate,22.5
Windsor,SFY 2000-2001,Equalized Mill Rate,20.38
Windsor Locks,SFY 2000-2001,Equalized Mill Rate,14.95
Wolcott,SFY 2000-2001,Equalized Mill Rate,19.45
Woodbridge,SFY 2000-2001,Equalized Mill Rate,19.63
Woodbury,SFY 2000-2001,Equalized Mill Rate,16.86
Woodstock,SFY 2000-2001,Equalized Mill Rate,15.61
Andover,SFY 2000-2001,Equalized Net Grand List,231093337
Ansonia,SFY 2000-2001,Equalized Net Grand List,933397723
Ashford,SFY 2000-2001,Equalized Net Grand List,249336342
Avon,SFY 2000-2001,Equalized Net Grand List,2176025300
Barkhamsted,SFY 2000-2001,Equalized Net Grand List,295263486
Beacon Falls,SFY 2000-2001,Equalized Net Grand List,401174493
Berlin,SFY 2000-2001,Equalized Net Grand List,1943666100
Bethany,SFY 2000-2001,Equalized Net Grand List,478677276
Bethel,SFY 2000-2001,Equalized Net Grand List,1824293720
Bethlehem,SFY 2000-2001,Equalized Net Grand List,313958240
Bloomfield,SFY 2000-2001,Equalized Net Grand List,1801437709
Bolton,SFY 2000-2001,Equalized Net Grand List,370270943
Bozrah,SFY 2000-2001,Equalized Net Grand List,234425872
Branford,SFY 2000-2001,Equalized Net Grand List,2981183791
Bridgeport,SFY 2000-2001,Equalized Net Grand List,5645059646
Bridgewater,SFY 2000-2001,Equalized Net Grand List,334760517
Bristol,SFY 2000-2001,Equalized Net Grand List,3718571411
Brookfield,SFY 2000-2001,Equalized Net Grand List,2088372194
Brooklyn,SFY 2000-2001,Equalized Net Grand List,405452106
Burlington,SFY 2000-2001,Equalized Net Grand List,692471041
Canaan,SFY 2000-2001,Equalized Net Grand List,157834008
Canterbury,SFY 2000-2001,Equalized Net Grand List,297837615
Canton,SFY 2000-2001,Equalized Net Grand List,770732027
Chaplin,SFY 2000-2001,Equalized Net Grand List,122051814
Cheshire,SFY 2000-2001,Equalized Net Grand List,2542754180
Chester,SFY 2000-2001,Equalized Net Grand List,391267133
Clinton,SFY 2000-2001,Equalized Net Grand List,1243326673
Colchester,SFY 2000-2001,Equalized Net Grand List,974148258
Colebrook,SFY 2000-2001,Equalized Net Grand List,151866569
Columbia,SFY 2000-2001,Equalized Net Grand List,426730651
Cornwall,SFY 2000-2001,Equalized Net Grand List,280734138
Coventry,SFY 2000-2001,Equalized Net Grand List,772591520
Cromwell,SFY 2000-2001,Equalized Net Grand List,1093924839
Danbury,SFY 2000-2001,Equalized Net Grand List,6358392929
Darien,SFY 2000-2001,Equalized Net Grand List,6003096864
Deep River,SFY 2000-2001,Equalized Net Grand List,446980094
Derby,SFY 2000-2001,Equalized Net Grand List,724467756
Durham,SFY 2000-2001,Equalized Net Grand List,609373407
Eastford,SFY 2000-2001,Equalized Net Grand List,113388303
East Granby,SFY 2000-2001,Equalized Net Grand List,508441631
East Haddam,SFY 2000-2001,Equalized Net Grand List,765325720
East Hampton,SFY 2000-2001,Equalized Net Grand List,825058629
East Hartford,SFY 2000-2001,Equalized Net Grand List,2881528040
East Haven,SFY 2000-2001,Equalized Net Grand List,1576113127
East Lyme,SFY 2000-2001,Equalized Net Grand List,1538794054
Easton,SFY 2000-2001,Equalized Net Grand List,1457417654
East Windsor,SFY 2000-2001,Equalized Net Grand List,867578431
Ellington,SFY 2000-2001,Equalized Net Grand List,837794598
Enfield,SFY 2000-2001,Equalized Net Grand List,2781171445
Essex,SFY 2000-2001,Equalized Net Grand List,910252847
Fairfield,SFY 2000-2001,Equalized Net Grand List,9468986473
Farmington,SFY 2000-2001,Equalized Net Grand List,3236747746
Franklin,SFY 2000-2001,Equalized Net Grand List,169084004
Glastonbury,SFY 2000-2001,Equalized Net Grand List,3501595873
Goshen,SFY 2000-2001,Equalized Net Grand List,420201180
Granby,SFY 2000-2001,Equalized Net Grand List,883754732
Greenwich,SFY 2000-2001,Equalized Net Grand List,24294026898
Griswold,SFY 2000-2001,Equalized Net Grand List,589423456
Groton,SFY 2000-2001,Equalized Net Grand List,3578702177
Guilford,SFY 2000-2001,Equalized Net Grand List,2616722384
Haddam,SFY 2000-2001,Equalized Net Grand List,751826893
Hamden,SFY 2000-2001,Equalized Net Grand List,3632393361
Hampton,SFY 2000-2001,Equalized Net Grand List,110061871
Hartford,SFY 2000-2001,Equalized Net Grand List,5099500077
Hartland,SFY 2000-2001,Equalized Net Grand List,169331177
Harwinton,SFY 2000-2001,Equalized Net Grand List,474666607
Hebron,SFY 2000-2001,Equalized Net Grand List,687694886
Kent,SFY 2000-2001,Equalized Net Grand List,428306146
Killingly,SFY 2000-2001,Equalized Net Grand List,921030439
Killingworth,SFY 2000-2001,Equalized Net Grand List,635602071
Lebanon,SFY 2000-2001,Equalized Net Grand List,452381201
Ledyard,SFY 2000-2001,Equalized Net Grand List,1011755569
Lisbon,SFY 2000-2001,Equalized Net Grand List,279564761
Litchfield,SFY 2000-2001,Equalized Net Grand List,879570823
Lyme,SFY 2000-2001,Equalized Net Grand List,388033311
Madison,SFY 2000-2001,Equalized Net Grand List,2484478891
Manchester,SFY 2000-2001,Equalized Net Grand List,3516190233
Mansfield,SFY 2000-2001,Equalized Net Grand List,750689946
Marlborough,SFY 2000-2001,Equalized Net Grand List,496439497
Meriden,SFY 2000-2001,Equalized Net Grand List,2978826943
Middlebury,SFY 2000-2001,Equalized Net Grand List,877211551
Middlefield,SFY 2000-2001,Equalized Net Grand List,386827280
Middletown,SFY 2000-2001,Equalized Net Grand List,3175667191
Milford,SFY 2000-2001,Equalized Net Grand List,5479657846
Monroe,SFY 2000-2001,Equalized Net Grand List,1964627529
Montville,SFY 2000-2001,Equalized Net Grand List,1209448267
Morris,SFY 2000-2001,Equalized Net Grand List,285023341
Naugatuck,SFY 2000-2001,Equalized Net Grand List,1747827045
New Britain,SFY 2000-2001,Equalized Net Grand List,2352215676
New Canaan,SFY 2000-2001,Equalized Net Grand List,6522294223
New Fairfield,SFY 2000-2001,Equalized Net Grand List,1677801950
New Hartford,SFY 2000-2001,Equalized Net Grand List,541318211
New Haven,SFY 2000-2001,Equalized Net Grand List,4297003290
Newington,SFY 2000-2001,Equalized Net Grand List,2395229897
New London,SFY 2000-2001,Equalized Net Grand List,1163418910
New Milford,SFY 2000-2001,Equalized Net Grand List,2611298202
Newtown,SFY 2000-2001,Equalized Net Grand List,3114739360
Norfolk,SFY 2000-2001,Equalized Net Grand List,229289157
North Branford,SFY 2000-2001,Equalized Net Grand List,1095203330
North Canaan,SFY 2000-2001,Equalized Net Grand List,312020559
North Haven,SFY 2000-2001,Equalized Net Grand List,2901127977
North Stonington,SFY 2000-2001,Equalized Net Grand List,450247584
Norwalk,SFY 2000-2001,Equalized Net Grand List,9035555854
Norwich,SFY 2000-2001,Equalized Net Grand List,1647368641
Old Lyme,SFY 2000-2001,Equalized Net Grand List,1253570329
Old Saybrook,SFY 2000-2001,Equalized Net Grand List,1557765720
Orange,SFY 2000-2001,Equalized Net Grand List,1871269974
Oxford,SFY 2000-2001,Equalized Net Grand List,964755572
Plainfield,SFY 2000-2001,Equalized Net Grand List,753221890
Plainville,SFY 2000-2001,Equalized Net Grand List,1235429821
Plymouth,SFY 2000-2001,Equalized Net Grand List,726439148
Pomfret,SFY 2000-2001,Equalized Net Grand List,274313577
Portland,SFY 2000-2001,Equalized Net Grand List,717842200
Preston,SFY 2000-2001,Equalized Net Grand List,313848232
Prospect,SFY 2000-2001,Equalized Net Grand List,714504268
Putnam,SFY 2000-2001,Equalized Net Grand List,481527474
Redding,SFY 2000-2001,Equalized Net Grand List,1618274789
Ridgefield,SFY 2000-2001,Equalized Net Grand List,4841280493
Rocky Hill,SFY 2000-2001,Equalized Net Grand List,1646900071
Roxbury,SFY 2000-2001,Equalized Net Grand List,511144246
Salem,SFY 2000-2001,Equalized Net Grand List,309776071
Salisbury,SFY 2000-2001,Equalized Net Grand List,732007382
Scotland,SFY 2000-2001,Equalized Net Grand List,95794444
Seymour,SFY 2000-2001,Equalized Net Grand List,1108466566
Sharon,SFY 2000-2001,Equalized Net Grand List,489266471
Shelton,SFY 2000-2001,Equalized Net Grand List,4385846758
Sherman,SFY 2000-2001,Equalized Net Grand List,524054643
