City,CityType,Year,Population,BirthsRate,DeathsRate,town,Median_household_income,CRIMENU
Cornwall,Town,2012,1399,0.36,0.79,31,78021,18
Cornwall,Town,2013,1412,0.28,0.85,31,67500,9
Cornwall,Town,2014,1398,0.14,0.57,31,108897,11
Cornwall,Town,2015,1387,0.29,0.94,31,75833,7
Coventry,Town,2010,12438,0.92,0.6,32,86244,174
Coventry,Town,2011,12418,0.87,0.59,32,90502,209
Coventry,Town,2012,12425,0.89,0.56,32,92308,174
Coventry,Town,2013,12411,0.77,0.6,32,93816,156
Coventry,Town,2014,12419,0.89,0.56,32,103876,144
Coventry,Town,2015,12438,0.99,0.55,32,90309,93
Cromwell,Town,2010,14001,1.08,1.01,33,82012,371
Cromwell,Town,2011,14037,1.05,1.09,33,80426,348
Cromwell,Town,2012,14217,1.1,1.06,33,80134,301
Cromwell,Town,2013,14178,0.99,0.97,33,75859,286
Cromwell,Town,2014,14113,0.97,1.18,33,97660,313
Cromwell,Town,2015,14034,0.97,1.05,33,82081,343
Danbury,LargeTown,2010,81023,1.41,0.61,34,65275,1631
Danbury,LargeTown,2011,81671,1.32,0.64,34,65656,1752
Danbury,LargeTown,2012,82807,1.32,0.58,34,66281,1671
Danbury,LargeTown,2013,83684,1.31,0.66,34,64969,1365
Danbury,LargeTown,2014,83784,1.23,0.62,34,84697,1507
Danbury,LargeTown,2015,84657,1.26,0.68,34,66676,1524
Darien,LargeTown,2010,20767,1.06,0.5,35,175766,146
Darien,LargeTown,2011,20942,1,0.48,35,193896,157
Darien,LargeTown,2012,21114,0.94,0.55,35,200724,102
Darien,LargeTown,2013,21330,0.9,0.42,35,205688,82
Darien,LargeTown,2014,21689,1.01,0.5,35,307100,196
Darien,LargeTown,2015,21787,0.96,0.54,35,208906,231
Deep River,Town,2010,4629,0.8,0.78,36,65250,58
Deep River,Town,2011,4639,0.82,0.91,36,76319,39
Deep River,Town,2012,4603,0.74,0.96,36,77625,31
Deep River,Town,2013,4589,0.59,0.65,36,71500,24
Deep River,Town,2014,4571,0.55,0.9,36,90052,19
Deep River,Town,2015,4516,0.71,0.82,36,69395,18
Derby,Town,2010,12901,0.91,1.06,37,52029,410
Derby,Town,2011,12882,1.04,1.13,37,55478,396
Derby,Town,2012,12830,0.99,0.88,37,54561,425
Derby,Town,2013,12801,1.2,1.09,37,53098,333
Derby,Town,2014,12768,0.97,0.97,37,66135,356
Derby,Town,2015,12700,1.02,1.02,37,51596,393
Durham,Town,2010,7386,0.7,0.62,38,105417,54
Durham,Town,2011,7403,0.76,0.73,38,106000,61
Durham,Town,2012,7368,0.64,0.64,38,109969,33
Durham,Town,2013,7361,0.8,0.65,38,124179,110
Durham,Town,2014,7348,0.64,0.54,38,140761,25
Durham,Town,2015,7301,0.6,0.7,38,113152,23
Eastford,Town,2010,1750,0.57,0.34,39,77596,52
Eastford,Town,2011,1744,1.03,0.52,39,73188,37
Eastford,Town,2012,1730,0.75,0.69,39,73074,48
Eastford,Town,2013,1736,1.38,0.81,39,71250,68
Eastford,Town,2014,1734,0.46,1.04,39,87572,59
Eastford,Town,2015,1750,0.8,0.57,39,72684,45
East Granby,Town,2010,5148,1.09,0.64,40,82695,126
East Granby,Town,2011,5152,1.05,0.8,40,87074,131
East Granby,Town,2012,5184,0.85,0.62,40,91146,125
East Granby,Town,2013,5212,1.04,0.79,40,89615,84
East Granby,Town,2014,5212,0.83,0.63,40,102752,61
East Granby,Town,2015,5199,0.79,0.58,40,82117,47
East Haddam,Town,2010,9123,0.89,0.64,41,88281,171
East Haddam,Town,2011,9146,0.72,0.51,41,91770,256
East Haddam,Town,2012,9158,0.78,0.6,41,93083,154
East Haddam,Town,2013,9147,0.79,0.77,41,94747,144
East Haddam,Town,2014,9127,0.9,0.78,41,111380,76
East Haddam,Town,2015,9081,0.91,0.66,41,96299,92
East Hampton,Town,2010,12954,1.09,0.64,42,48613,1756
East Hampton,Town,2011,12989,1.02,0.59,42,49611,1605
East Hampton,Town,2012,12940,0.83,0.76,42,48438,1804
East Hampton,Town,2013,12912,0.91,0.9,42,50400,1633
East Hampton,Town,2014,12874,0.79,0.7,42,62419,1376
East Hampton,Town,2015,12858,0.77,0.81,42,48369,1291
East Hartford,LargeTown,2010,51259,1.36,0.93,43,59918,1001
East Hartford,LargeTown,2011,51293,1.28,0.95,43,63136,863
East Hartford,LargeTown,2012,51272,1.35,0.93,43,63574,909
East Hartford,LargeTown,2013,51199,1.29,0.88,43,63673,785
East Hartford,LargeTown,2014,51033,1.32,0.83,43,76505,752
East Hartford,LargeTown,2015,50821,1.25,0.88,43,63120,713
East Haven,LargeTown,2010,29257,0.96,1.14,44,79815,209
East Haven,LargeTown,2011,29209,0.97,1.14,44,80293,192
East Haven,LargeTown,2012,29190,0.84,1.11,44,81599,175
East Haven,LargeTown,2013,29121,0.9,1.04,44,78257,212
East Haven,LargeTown,2014,29044,0.85,1.07,44,103335,159
East Haven,LargeTown,2015,28935,0.96,1.15,44,84029,157
East Lyme,Town,2010,19156,0.65,0.75,45,64301,336
East Lyme,Town,2011,19124,0.56,0.85,45,66699,315
East Lyme,Town,2012,18892,0.64,0.85,45,71310,363
East Lyme,Town,2013,18937,0.72,0.85,45,72785,343
East Lyme,Town,2014,19140,0.75,1.03,45,81514,427
East Lyme,Town,2015,19343,0.59,0.89,45,74798,336
Easton,Town,2010,7502,0.59,0.71,46,76786,10
Easton,Town,2011,7564,0.5,0.58,46,80147,6
Easton,Town,2012,7603,0.58,0.78,46,82885,6
Easton,Town,2013,7616,0.55,0.75,46,83015,16
Easton,Town,2014,7631,0.52,0.86,46,96232,12
Easton,Town,2015,7625,0.62,0.6,46,78466,9
East Windsor,Town,2010,11163,1.12,1.02,47,140370,35
East Windsor,Town,2011,11170,1.15,0.81,47,141372,27
East Windsor,Town,2012,11387,1.16,1.08,47,142434,40
East Windsor,Town,2013,11406,1.09,0.96,47,150000,31
East Windsor,Town,2014,11423,1.01,0.92,47,171108,31
East Windsor,Town,2015,11400,0.92,1.04,47,131189,24
Ellington,Town,2010,15607,1,0.51,48,81582,68
Ellington,Town,2011,15582,0.86,0.58,48,84758,82
Ellington,Town,2012,15779,0.87,0.52,48,84934,73
Ellington,Town,2013,15786,0.96,0.62,48,84699,70
Ellington,Town,2014,15795,0.9,0.6,48,101266,66
Ellington,Town,2015,15916,0.86,0.58,48,85545,68
Enfield,LargeTown,2010,44659,0.89,0.85,49,67402,955
Enfield,LargeTown,2011,44686,0.97,0.85,49,67809,856
Enfield,LargeTown,2012,44660,0.87,0.91,49,68356,850
Enfield,LargeTown,2013,44748,0.84,0.89,49,67191,907
Enfield,LargeTown,2014,44626,0.87,0.92,49,78786,813
Enfield,LargeTown,2015,44323,0.86,0.9,49,67377,844
Essex,Town,2010,6682,0.54,1.17,50,87480,41
Essex,Town,2011,6698,0.72,1.18,50,84095,44
Essex,Town,2012,6648,0.41,1.02,50,90242,31
Essex,Town,2013,6633,0.44,1.13,50,86298,21
Essex,Town,2014,6612,0.41,1.12,50,117320,26
Essex,Town,2015,6586,0.55,1.23,50,86376,27
Fairfield,LargeTown,2010,59496,0.87,0.85,51,113248,1083
Fairfield,LargeTown,2011,59961,0.84,0.81,51,118476,1159
Fairfield,LargeTown,2012,60450,0.78,0.81,51,119924,1336
Fairfield,LargeTown,2013,60855,0.83,0.82,51,117705,1179
Fairfield,LargeTown,2014,61347,0.91,0.77,51,173929,1203
Fairfield,LargeTown,2015,61523,0.83,0.78,51,122306,969
Farmington,LargeTown,2010,25343,0.78,0.9,52,85417,710
Farmington,LargeTown,2011,25361,0.81,1.07,52,86675,643
Farmington,LargeTown,2012,25529,0.81,0.96,52,88467,653
Farmington,LargeTown,2013,25613,0.64,0.91,52,88935,680
Farmington,LargeTown,2014,25627,0.84,0.91,52,133156,674
Farmington,LargeTown,2015,25629,0.8,0.97,52,91712,609
Franklin,Town,2010,1922,0.68,0.73,53,74226,46
Franklin,Town,2011,1917,0.78,0.47,53,78342,22
Franklin,Town,2012,1991,0.65,0.75,53,88333,27
Franklin,Town,2013,1987,0.65,1.16,53,89643,23
Franklin,Town,2014,1984,0.91,0.76,53,104890,8
Franklin,Town,2015,1975,0.66,0.41,53,87708,26
Glastonbury,LargeTown,2010,34432,0.73,0.75,54,102482,394
Glastonbury,LargeTown,2011,34454,0.71,0.74,54,104967,350
Glastonbury,LargeTown,2012,34698,0.67,0.74,54,106872,369
Glastonbury,LargeTown,2013,34768,0.72,0.71,54,106678,302
Glastonbury,LargeTown,2014,34754,0.7,0.73,54,145318,316
Glastonbury,LargeTown,2015,34678,0.71,0.87,54,109018,372
Goshen,Town,2010,2973,0.5,0.77,55,76705,17
Goshen,Town,2011,2957,0.44,0.85,55,83125,16
Goshen,Town,2012,2952,0.68,0.71,55,74333,15
Goshen,Town,2013,2945,0.58,0.71,55,79850,10
Goshen,Town,2014,2914,0.45,1.03,55,87828,10
Goshen,Town,2015,2904,0.52,0.86,55,92361,11
Granby,Town,2010,11284,0.61,0.66,56,97500,113
Granby,Town,2011,11291,0.7,0.73,56,99190,126
Granby,Town,2012,11316,0.71,0.77,56,97851,110
Granby,Town,2013,11323,0.52,0.67,56,97894,109
Granby,Town,2014,11310,0.64,0.84,56,142672,94
Granby,Town,2015,11298,0.73,0.75,56,102671,83
Greenwich,LargeTown,2010,61274,1.01,0.75,57,124958,598
Greenwich,LargeTown,2011,61782,1.04,0.69,57,127201,456
Greenwich,LargeTown,2012,62256,1.1,0.64,57,129588,391
Greenwich,LargeTown,2013,62396,0.98,0.66,57,132164,476
Greenwich,LargeTown,2014,62610,0.95,0.71,57,262067,496
Greenwich,LargeTown,2015,62695,0.89,0.72,57,128153,438
Griswold,Town,2010,11950,0.99,0.74,58,59295,120
Griswold,Town,2011,11925,0.99,0.7,58,66303,117
Griswold,Town,2012,11986,0.93,0.68,58,64574,137
Griswold,Town,2013,11959,0.98,0.66,58,59387,133
Griswold,Town,2014,11916,0.86,0.76,58,78550,128
Griswold,Town,2015,11830,0.85,0.74,58,59153,83
Groton,LargeTown,2010,40109,1.47,0.58,59,56904,735
Groton,LargeTown,2011,40038,1.48,0.7,59,59887,773
Groton,LargeTown,2012,39896,1.56,0.67,59,61966,868
Groton,LargeTown,2013,40176,1.43,0.69,59,60684,797
Groton,LargeTown,2014,40167,1.4,0.73,59,80077,803
Groton,LargeTown,2015,39692,1.27,0.71,59,62137,708
Guilford,LargeTown,2010,22375,0.68,0.71,60,98411,455
Guilford,LargeTown,2011,22340,0.51,0.71,60,95085,363
Guilford,LargeTown,2012,22403,0.58,0.71,60,95745,317
Guilford,LargeTown,2013,22417,0.54,0.79,60,96151,258
Guilford,LargeTown,2014,22413,0.55,0.74,60,132149,356
Guilford,LargeTown,2015,22350,0.55,0.8,60,99132,218
Haddam,Town,2010,8344,0.8,0.64,61,86179,60
Haddam,Town,2011,8364,0.84,0.63,61,87883,61
Haddam,Town,2012,8358,0.74,0.63,61,89184,68
Haddam,Town,2013,8363,0.75,0.6,61,93824,34
Haddam,Town,2014,8333,0.8,0.76,61,114451,42
Haddam,Town,2015,8292,0.8,0.82,61,99866,45
Hamden,LargeTown,2010,60957,1.02,0.94,62,66695,894
Hamden,LargeTown,2011,60868,1.05,1.02,62,67955,1545
Hamden,LargeTown,2012,60863,1.01,0.96,62,68462,1710
Hamden,LargeTown,2013,61607,0.94,0.91,62,68794,1671
Hamden,LargeTown,2014,61422,0.89,0.92,62,87591,1589
Hamden,LargeTown,2015,61218,0.92,1.01,62,70791,1525
Hampton,Town,2010,1864,0.86,0.64,63,79943,19
Hampton,Town,2011,1858,0.7,0.65,63,81307,8
Hampton,Town,2012,1869,0.54,0.59,63,75278,5
Hampton,Town,2013,1868,0.43,0.43,63,74559,17
Hampton,Town,2014,1859,0.81,0.59,63,94056,6
Hampton,Town,2015,1849,0.59,0.65,63,76625,15
Hartford,City,2010,124789,1.61,0.63,64,28970,7119
Hartford,City,2011,124867,1.58,0.66,64,29107,7141
Hartford,City,2012,124893,1.58,0.62,64,28931,6974
Hartford,City,2013,125017,1.52,0.62,64,29430,6509
Hartford,City,2014,124705,1.5,0.63,64,42759,6660
Hartford,City,2015,124006,1.48,0.72,64,30630,6888
Hartland,Town,2010,2115,0.76,0.38,65,85956,12
Hartland,Town,2011,2116,0.66,0.66,65,90278,7
Hartland,Town,2012,2132,0.56,0.56,65,91875,12
Hartland,Town,2013,2131,0.61,0.56,65,88362,2
Hartland,Town,2014,2129,0.85,0.61,65,102563,2
Hartland,Town,2015,2127,0.47,0.61,65,91964,8
Harwinton,Town,2010,5638,0.59,0.71,66,85253,34
Harwinton,Town,2011,5608,0.62,0.7,66,85920,50
Harwinton,Town,2012,5600,0.61,0.59,66,89429,41
Harwinton,Town,2013,5593,0.72,0.88,66,89102,34
Harwinton,Town,2014,5531,0.43,0.81,66,120214,50
Harwinton,Town,2015,5493,0.64,0.66,66,91875,30
Hebron,Town,2010,9690,0.75,0.39,67,108444,78
Hebron,Town,2011,9673,0.74,0.48,67,107807,50
Hebron,Town,2012,9624,0.64,0.54,67,114286,60
Hebron,Town,2013,9588,0.7,0.5,67,111792,39
Hebron,Town,2014,9564,0.69,0.51,67,119638,32
Hebron,Town,2015,9552,0.57,0.49,67,105104,25
Kent,Town,2010,2977,0.6,1.04,68,68481,28
Kent,Town,2011,2961,0.44,1.28,68,71736,41
Kent,Town,2012,2951,0.85,1.15,68,66641,39
Kent,Town,2013,2939,0.51,1.05,68,64038,26
Kent,Town,2014,2910,0.62,1.34,68,95315,5
Kent,Town,2015,2869,0.45,1.05,68,60714,13
Killingly,Town,2010,17374,1.13,0.93,69,53192,215
Killingly,Town,2011,17330,1.08,0.91,69,54446,180
Killingly,Town,2012,17269,1.12,0.97,69,55598,209
Killingly,Town,2013,17233,1.18,0.89,69,57205,213
Killingly,Town,2014,17172,1.1,0.94,69,66753,210
Killingly,Town,2015,17131,1.08,1.22,69,55764,155
Killingworth,Town,2010,6523,0.64,0.64,70,99500,31
Killingworth,Town,2011,6540,0.55,0.75,70,105764,32
Killingworth,Town,2012,6504,0.62,0.57,70,106964,28
Killingworth,Town,2013,6490,0.43,0.65,70,112761,14
Killingworth,Town,2014,6490,0.48,0.66,70,128462,26
Killingworth,Town,2015,6455,0.81,0.76,70,112137,25
Lebanon,Town,2010,7306,0.83,0.68,71,72431,64
Lebanon,Town,2011,7292,0.67,0.74,71,80601,55
Lebanon,Town,2012,7326,0.85,0.81,71,81120,42
Lebanon,Town,2013,7319,0.67,0.74,71,83651,40
Lebanon,Town,2014,7309,0.78,0.63,71,100065,36
Lebanon,Town,2015,7259,0.7,0.81,71,89375,43
Ledyard,Town,2010,15050,1.08,0.43,72,85321,153
Ledyard,Town,2011,15019,1.13,0.62,72,87344,133
Ledyard,Town,2012,15077,0.86,0.55,72,88057,129
Ledyard,Town,2013,15094,1.02,0.63,72,87518,159
Ledyard,Town,2014,15121,1.1,0.64,72,102930,152
Ledyard,Town,2015,15025,1.02,0.74,72,84825,77
Lisbon,Town,2010,4338,0.69,0.51,73,77872,106
Lisbon,Town,2011,4330,0.72,0.85,73,74190,143
Lisbon,Town,2012,4355,0.64,0.8,73,80539,141
Lisbon,Town,2013,4348,0.51,0.92,73,80129,136
Lisbon,Town,2014,4342,0.62,0.76,73,94059,157
Lisbon,Town,2015,4310,0.74,0.86,73,81200,85
Litchfield,Town,2010,8457,0.59,0.97,74,78750,84
Litchfield,Town,2011,8417,0.68,1.05,74,82155,73
Litchfield,Town,2012,8353,0.51,1.05,74,84063,91
Litchfield,Town,2013,8333,0.62,1.28,74,86801,73
Litchfield,Town,2014,8264,0.64,0.9,74,108144,82
Litchfield,Town,2015,8212,0.63,1.24,74,82361,70
Lyme,Town,2010,2405,0.21,0.62,75,88500,15
Lyme,Town,2011,2401,0.5,0.83,75,91522,16
Lyme,Town,2012,2403,0.5,1.04,75,86250,19
Lyme,Town,2013,2401,0.46,1.33,75,85263,11
Lyme,Town,2014,2389,0.59,0.88,75,116545,16
Lyme,Town,2015,2374,0.72,1.1,75,81650,16
Madison,Town,2010,18267,0.47,0.78,76,108175,230
Madison,Town,2011,18239,0.61,0.77,76,106609,129
Madison,Town,2012,18291,0.46,0.8,76,107062,118
Madison,Town,2013,18297,0.45,0.85,76,110761,113
Madison,Town,2014,18259,0.54,0.87,76,143342,122
Madison,Town,2015,18223,0.52,0.82,76,107183,58
Manchester,LargeTown,2010,58249,1.38,0.76,77,61571,1978
Manchester,LargeTown,2011,58287,1.4,0.88,77,62436,1850
Manchester,LargeTown,2012,58289,1.28,0.77,77,63656,1908
Manchester,LargeTown,2013,58211,1.31,0.85,77,63274,1606
Manchester,LargeTown,2014,58106,1.35,0.88,77,77191,1692
