Code,District Code,Municipality,2011 GL
114,0,Preston,19.43
115,0,Prospect,27.58
116,0,Putnam,14.94
116,1,Putnam + Special Service District,22.34
116,2,Putnam - West Putnam District,1
116,3,Putnam - East Putnam District,1.2
117,0,Redding,23.28
118,0,Ridgefield,20.37
119,0,Rocky Hill,25.9
120,0,Roxbury,12.1
121,0,Salem,29.6
122,0,Salisbury,10.2
123,0,Scotland,30.07
124,0,Seymour,32.83
125,0,Sharon,11.35
126,0,Shelton,22.4
127,0,Sherman,16.1
128,0,Simsbury,31.37
128,1,Simsbury + Fire District,32.4
128,2,Simsbury - Fire District,1.03
129,0,Somers,23.12
130,0,Southbury,21.2
131,0,Southington,27.48
132,0,South Windsor,29.43
133,0,Sprague,26.75
134,0,Stafford,32.29
134,1,Stafford - Special Service District,2.16
135,0,Stamford - Motor Vehicles,26.5
135,1,"Stamford - ""A""",17.89
135,2,"Stamford - ""B""",17.49
135,3,"Stamford - ""C""",16.73
135,4,"Stamford - ""CS""",17.08
135,5,Stamford - Pprop Other than MV,17.89
136,0,Sterling,21.34
136,1,Sterling - Fire District,1.1
137,0,Stonington,15.89
137,2,Stonington - Pawcatuck Fire District,1.163
137,4,Stonington - Fire District,0.55
137,1,Stonington - Mystic Fire District,1.5
137,5,Stonington - Wequetequock Fire District,0.6
137,3,Stonington - Quiambaug Fire District,0.65
137,6,Stonington - Old Mystic Fire District,2.4
137,7,Stonington - Lords Point Fire District,1.726
137,8,Stonington - Mason's Island,1.32
137,9,Stonington - Wamphassuc Point,0.346
137,10,Stonington - Latimer Point,1.6
138,0,Stratford,34.48
139,0,Suffield,24.84
140,0,Thomaston,32.83
141,0,Thompson,22.2
142,0,Tolland,29.99
143,0,Torrington,33.47
144,0,Trumbull,30.71
144,1,Trumbull - Long Hill Fire District,Not Avail.
144,2,Trumbull - Center Fire District,Not Avail.
144,3,Trumbull - Nichols Center Fire District,Not Avail.
145,0,Union,23.59
146,0,Vernon,33.63
147,0,Voluntown,24.25
148,0,Wallingford,25.98
149,0,Warren,13
150,0,Washington,11.5
151,0,Waterbury,41.8184
152,0,Waterford,19.77
153,0,Watertown,24.23
154,0,Westbrook,20.98
155,0,West Hartford,35.75
156,0,West Haven,31.25
156,1,West Haven - First Center,8.5
156,0,West Haven -  West Shore (2d),8.63
156,0,West Haven - Allingtown (Third),8.38
157,0,Weston,24.02
158,0,Westport,17.91
159,0,Wethersfield,32.58
160,0,Willington,23.96
161,0,Wilton,21.0555
162,0,Winchester,Not Avail.
163,1,Windham - Special Service Dist. #2,38.67
163,0,Windham - 1,28.63
163,2,Windham - 1st Taxing District,1.55
164,0,Windsor,27.95
164,1,Windsor - Wilson Fire District,2.8
164,2,Windsor - Windsor Fire District,1.25
165,0,Windsor Locks,24.27
166,0,Wolcott,25.27
167,0,Woodbridge,33.73
168,0,Woodbury,22.58
169,0,Woodstock,21.78
601,0,Borough of Bantam (Litchfield),1.5
603,0,Borough of Danielson (Killingly),3.2
604,0,Borough of Fenwick (Old Saybrook),2.45
606,0,Borough of Jewett City (Griswold),3.5
607,0,Borough of Litchfield,1.19
608,0,Borough of Newtown,0.61
610,0,Borough of Stonington,1.9
611,0,Borough of Woodmont (Milford),Not Avail.
