town,CityType,Year,Population,BirthsRate,DeathsRate,Crime_num,Median_household_income,Mill_Rate,HOUSING_PRICE
Berlin,LargeTown,2013,20590,0.74,0.96,292,87432,25.15,258000
Berlin,LargeTown,2014,20610,0.67,1.01,317,102654,28.77,245500
Berlin,LargeTown,2015,20560,0.62,0.99,342,87810,28.92,245500
Bethany,Town,2010,5562,0.56,0.56,42,113720,27,297450
Bethany,Town,2011,5554,0.67,0.58,38,106579,27.55,295000
Bethany,Town,2012,5550,0.61,0.52,48,109564,28.06,309000
Bethany,Town,2013,5540,0.78,0.65,41,100083,28.54,321000
Bethany,Town,2014,5531,0.58,0.63,30,120961,29.6,316000
Bethany,Town,2015,5510,0.76,0.56,35,97254,33.9,322000
Bethel,Town,2010,18615,0.91,0.64,202,83483,21.64,294500
Bethel,Town,2011,18771,0.89,0.6,311,87475,22.44,273000
Bethel,Town,2012,19161,0.79,0.7,332,88024,23.24,269000
Bethel,Town,2013,19264,0.74,0.62,186,85589,24.07,265450
Bethel,Town,2014,19372,0.9,0.73,169,110523,31.5,276000
Bethel,Town,2015,19529,0.93,0.8,174,92125,32.11,294000
Bethlehem,Town,2010,3604,0.55,0.8,20,82899,21.41,284250
Bethlehem,Town,2011,3586,0.61,0.56,29,86891,21.25,250000
Bethlehem,Town,2012,3566,0.45,1.12,20,80884,20.67,285000
Bethlehem,Town,2013,3553,0.76,0.84,20,83871,20.5,260000
Bethlehem,Town,2014,3501,0.71,0.54,17,109332,20.5,222500
Bethlehem,Town,2015,3473,0.66,0.49,10,84306,22.47,252000
Bloomfield,LargeTown,2010,20489,0.99,1.25,595,68372,35.53,212000
Bloomfield,LargeTown,2011,20502,0.81,1.34,573,72065,32.72,192000
Bloomfield,LargeTown,2012,20602,0.87,1.23,538,71579,33.7,178000
Bloomfield,LargeTown,2013,20673,0.7,1.28,509,73104,34.55,183500
Bloomfield,LargeTown,2014,20819,0.94,1.29,553,95819,34.85,165000
Bloomfield,LargeTown,2015,20749,0.75,1.19,572,72762,34.84,184900
Bolton,Town,2010,4981,0.58,0.72,37,89432,28.18,231950
Bolton,Town,2011,4974,0.7,0.7,41,93348,28.95,265000
Bolton,Town,2012,4960,0.89,0.63,33,87885,29.33,217000
Bolton,Town,2013,4948,0.79,0.73,33,86890,29.8,256500
Bolton,Town,2014,4952,0.75,0.55,19,111812,30.96,227647.5
Bolton,Town,2015,4947,0.75,0.44,29,97019,35.34,227000
