Year,Town,medprice
2011,Pomfret,152500
2011,Portland,190000
2011,Preston,185000
2011,Prospect,225000
2011,Putnam,130000
2011,Redding,550000
2011,Ridgefield,483750
2011,Rocky Hill,255000
2011,Roxbury,542500
2011,Salem,275625
2011,Salisbury,326500
2011,Scotland,185000
2011,Seymour,212500
2011,Sharon,247500
2011,Shelton,280000
2011,Sherman,362000
2011,Simsbury,320000
2011,Somers,277250
2011,South Windsor,252500
2011,Southbury,323750
2011,Southington,240000
2011,Sprague,120000
2011,Stafford,165000
2011,Stamford,480000
2011,Sterling,139450
2011,Stonington,248500
2011,Stratford,210000
2011,Suffield,276000
2011,Thomaston,182500
2011,Thompson,156000
2011,Tolland,253000
2011,Torrington,135500
2011,Trumbull,358000
2011,Union,156000
2011,Vernon,155000
2011,Voluntown,150500
2011,Wallingford,210000
2011,Warren,430556
2011,Washington,532500
2011,Waterbury,76950
2011,Waterford,190000
2011,Watertown,216500
2011,West Hartford,307500
2011,West Haven,152549.5
2011,Westbrook,230000
2011,Weston,769000
2011,Westport,977500
2011,Wethersfield,230000
2011,Willington,239000
2011,Wilton,822500
2011,Winchester,134000
2011,Windham,122603.5
2011,Windsor,185000
2011,Windsor Locks,156900
2011,Wolcott,210000
2011,Woodbridge,365500
2011,Woodbury,372750
2011,Woodstock,195000
2012,Andover,240000
2012,Ansonia,147000
2012,Ashford,137000
2012,Avon,440000
2012,Barkhamsted,204000
2012,Beacon Falls,203500
2012,Berlin,230000
2012,Bethany,309000
2012,Bethel,269000
2012,Bethlehem,285000
2012,Bloomfield,178000
2012,Bolton,217000
2012,Bozrah,186000
2012,Branford,257500
2012,Bridgeport,120000
2012,Bridgewater,512000
2012,Bristol,158500
2012,Brookfield,337450
2012,Brooklyn,187450
2012,Burlington,350000
2012,Canaan,205000
2012,Canterbury,180000
2012,Canton,278000
2012,Chaplin,149500
2012,Cheshire,307500
2012,Chester,248500
2012,Clinton,255000
2012,Colchester,225000
2012,Colebrook,215000
2012,Columbia,225000
2012,Cornwall,500000
2012,Coventry,199900
2012,Cromwell,263000
2012,Danbury,235000
2012,Darien,1212500
2012,Deep River,247000
2012,Derby,177250
2012,Durham,249500
2012,East Granby,240000
2012,East Haddam,235000
2012,East Hampton,210000
2012,East Hartford,120500
2012,East Haven,175000
2012,East Lyme,260000
2012,East Windsor,176000
2012,Eastford,142000
2012,Easton,551750
2012,Ellington,230000
2012,Enfield,159950
2012,Essex,361250
2012,Fairfield,520000
2012,Farmington,345000
2012,Franklin,185000
2012,Glastonbury,333000
2012,Goshen,277500
2012,Granby,272151
2012,Greenwich,1500000
2012,Griswold,133800
2012,Groton,235000
2012,Guilford,368000
2012,Haddam,260000
2012,Hamden,185000
2012,Hampton,188500
2012,Hartford,137000
2012,Hartland,210000
2012,Harwinton,217500
2012,Hebron,273750
2012,Kent,315000
2012,Killingly,144650
2012,Killingworth,246250
2012,Lebanon,187000
2012,Ledyard,230000
2012,Lisbon,169900
2012,Litchfield,245000
2012,Lyme,313000
2012,Madison,419500
2012,Manchester,169900
2012,Mansfield,184000
2012,Marlborough,205000
2012,Meriden,144950
2012,Middlebury,269500
2012,Middlefield,202500
2012,Middletown,190500
2012,Milford,255000
2012,Monroe,350000
2012,Montville,147500
2012,Morris,205000
2012,Naugatuck,145000
2012,New Britain,113000
2012,New Canaan,1302500
2012,New Fairfield,281250
2012,New Hartford,260000
2012,New Haven,135000
2012,New London,127500
2012,New Milford,254000
2012,Newington,207000
2012,Newtown,380000
2012,Norfolk,160000
2012,North Branford,240000
2012,North Canaan,153600
2012,North Haven,258500
2012,North Stoningto,202500
2012,Norwalk,387500
2012,Norwich,94000
2012,Old Lyme,295000
2012,Old Saybrook,321250
2012,Orange,332000
2012,Oxford,307500
2012,Plainfield,129900
2012,Plainville,169400
2012,Plymouth,139000
2012,Pomfret,209000
2012,Portland,203950
2012,Preston,226000
2012,Prospect,245000
2012,Putnam,119900
2012,Redding,562000
2012,Ridgefield,607500
2012,Rocky Hill,251250
2012,Roxbury,822500
2012,Salem,282500
2012,Salisbury,342500
2012,Scotland,177500
2012,Seymour,194000
2012,Sharon,390000
2012,Shelton,275000
2012,Sherman,350000
2012,Simsbury,312500
2012,Somers,280000
2012,South Windsor,256000
2012,Southbury,300000
2012,Southington,283750
2012,Sprague,134200
2012,Stafford,163000
2012,Stamford,504000
2012,Sterling,125300
2012,Stonington,305000
2012,Stratford,195000
2012,Suffield,261500
2012,Thomaston,206325
2012,Thompson,147500
2012,Tolland,251250
2012,Torrington,125000
2012,Trumbull,310750
2012,Union,224500
2012,Vernon,180000
2012,Voluntown,139900
2012,Wallingford,220000
2012,Warren,297500
2012,Washington,512500
2012,Waterbury,82000
2012,Waterford,207250
2012,Watertown,179500
2012,West Hartford,290000
2012,West Haven,160000
2012,Westbrook,209000
2012,Weston,780000
2012,Westport,1160000
2012,Wethersfield,222250
2012,Willington,201000
2012,Wilton,747500
2012,Winchester,132000
2012,Windham,90000
2012,Windsor,175000
2012,Windsor Locks,165000
2012,Wolcott,204000
2012,Woodbridge,406000
2012,Woodbury,338000
2012,Woodstock,269000
2013,Andover,255000
2013,Ansonia,169902
2013,Ashford,160000
2013,Avon,460000
2013,Barkhamsted,213015
2013,Beacon Falls,188000
2013,Berlin,258000
2013,Bethany,321000
2013,Bethel,265450
2013,Bethlehem,260000
2013,Bloomfield,183500
2013,Bolton,256500
2013,Bozrah,204000
2013,Branford,281250
2013,Bridgeport,118000
2013,Bridgewater,306500
2013,Bristol,153446
2013,Brookfield,330500
2013,Brooklyn,198979
2013,Burlington,321000
2013,Canaan,156000
2013,Canterbury,195000
2013,Canton,307000
2013,Chaplin,179000
2013,Cheshire,285000
2013,Chester,289950
2013,Clinton,257500
2013,Colchester,227000
2013,Colebrook,249500
2013,Columbia,210000
2013,Cornwall,350000
2013,Coventry,190000
2013,Cromwell,218000
2013,Danbury,244000
2013,Darien,1355000
2013,Deep River,242000
2013,Derby,141250
2013,Durham,284500
2013,East Granby,251900
2013,East Haddam,196175
2013,East Hampton,215000
2013,East Hartford,125000
2013,East Haven,160000
2013,East Lyme,267750
2013,East Windsor,184450
2013,Eastford,217000
2013,Easton,570000
2013,Ellington,240000
2013,Enfield,158000
2013,Essex,377000
2013,Fairfield,535000
2013,Farmington,257000
2013,Franklin,169000
2013,Glastonbury,338000
2013,Goshen,275000
2013,Granby,278000
2013,Greenwich,1600000
2013,Griswold,152500
2013,Groton,199000
2013,Guilford,380000
2013,Haddam,266000
2013,Hamden,195000
2013,Hampton,180000
2013,Hartford,121000
2013,Hartland,187500
2013,Harwinton,195000
2013,Hebron,270000
2013,Kent,272450
2013,Killingly,135875
2013,Killingworth,225000
2013,Lebanon,199632.5
2013,Ledyard,215000
2013,Lisbon,159500
2013,Litchfield,285000
2013,Lyme,464975
2013,Madison,439500
2013,Manchester,169000
2013,Mansfield,200500
2013,Marlborough,257250
2013,Meriden,146500
2013,Middlebury,280000
2013,Middlefield,233250
2013,Middletown,210000
2013,Milford,255400
2013,Monroe,324000
2013,Montville,164375
2013,Morris,239900
2013,Naugatuck,161250
2013,New Britain,122000
2013,New Canaan,1297500
2013,New Fairfield,315000
2013,New Hartford,283000
2013,New Haven,155000
2013,New London,128000
2013,New Milford,267900
2013,Newington,207450
2013,Newtown,312500
2013,Norfolk,260000
2013,North Branford,261500
2013,North Canaan,149250
2013,North Haven,250000
2013,North Stoningto,232000
2013,Norwalk,430000
2013,Norwich,109687.5
2013,Old Lyme,335000
2013,Old Saybrook,320000
2013,Orange,315000
2013,Oxford,314500
2013,Plainfield,148000
2013,Plainville,169950
2013,Plymouth,164500
2013,Pomfret,195000
2013,Portland,235000
2013,Preston,211250
2013,Prospect,239000
2013,Putnam,145500
2013,Redding,564000
2013,Ridgefield,650000
2013,Rocky Hill,255000
2013,Roxbury,669000
2013,Salem,242500
2013,Salisbury,437500
2013,Scotland,140000
2013,Seymour,190000
2013,Sharon,413750
2013,Shelton,305000
2013,Sherman,352000
2013,Simsbury,285000
2013,Somers,279500
2013,South Windsor,245500
2013,Southbury,377500
2013,Southington,248250
2013,Sprague,65000
2013,Stafford,155000
2013,Stamford,525000
2013,Sterling,172000
2013,Stonington,230000
2013,Stratford,218000
2013,Suffield,270000
2013,Thomaston,196500
2013,Thompson,130974
2013,Tolland,235000
2013,Torrington,132897.5
2013,Trumbull,350000
2013,Union,265000
2013,Vernon,165000
2013,Voluntown,159700
2013,Wallingford,225000
2013,Warren,365000
2013,Washington,501500
2013,Waterbury,70500
2013,Waterford,219999.5
2013,Watertown,190000
2013,West Hartford,309000
2013,West Haven,157833.5
2013,Westbrook,260000
2013,Weston,762500
2013,Westport,1196000
2013,Wethersfield,231000
2013,Willington,180000
2013,Wilton,825000
2013,Winchester,125000
2013,Windham,106500
2013,Windsor,184500
2013,Windsor Locks,157950
2013,Wolcott,175000
2013,Woodbridge,375000
2013,Woodbury,279750
2013,Woodstock,210000
2014,Andover,207700
2014,Ansonia,160000
2014,Ashford,171450
2014,Avon,347250
2014,Barkhamsted,236250
2014,Beacon Falls,245000
2014,Berlin,245500
2014,Bethany,316000
2014,Bethel,276000
2014,Bethlehem,222500
2014,Bloomfield,165000
2014,Bolton,227647.5
2014,Bozrah,145625
2014,Branford,286750
2014,Bridgeport,120000
2014,Bridgewater,445000
2014,Bristol,160000
2014,Brookfield,335000
2014,Brooklyn,188298.5
2014,Burlington,353750
2014,Canaan,172000
2014,Canterbury,162450
2014,Canton,290350
2014,Chaplin,75000
2014,Cheshire,263250
2014,Chester,198000
2014,Clinton,224500
2014,Colchester,222000
2014,Colebrook,203500
2014,Columbia,247000
2014,Cornwall,335000
2014,Coventry,175000
2014,Cromwell,215250
2014,Danbury,255000
2014,Darien,1495000
2014,Deep River,243000
2014,Derby,142000
2014,Durham,260000
2014,East Granby,214000
2014,East Haddam,232500
2014,East Hampton,237500
2014,East Hartford,121500
2014,East Haven,164750
2014,East Lyme,259500
2014,East Windsor,147359.5
2014,Eastford,215000
2014,Easton,590000
2014,Ellington,249000
2014,Enfield,160000
2014,Essex,357250
2014,Fairfield,530000
2014,Farmington,329000
2014,Franklin,102000
2014,Glastonbury,330000
2014,Goshen,322500
2014,Granby,265000
2014,Greenwich,1550000
2014,Griswold,141098
2014,Groton,184000
2014,Guilford,280000
2014,Haddam,260000
2014,Hamden,180000
2014,Hampton,234000
2014,Hartford,121800
2014,Hartland,254500
2014,Harwinton,227000
2014,Hebron,247500
2014,Kent,296000
2014,Killingly,99400
2014,Killingworth,332500
2014,Lebanon,176400
2014,Ledyard,202250
2014,Lisbon,165250
2014,Litchfield,279900
2014,Lyme,240000
2014,Madison,350000
2014,Manchester,155000
2014,Mansfield,187500
2014,Marlborough,250000
2014,Meriden,135000
2014,Middlebury,319500
2014,Middlefield,208700
2014,Middletown,156500
2014,Milford,260000
2014,Monroe,317000
2014,Montville,160000
2014,Morris,252250
2014,Naugatuck,140000
2014,New Britain,118000
2014,New Canaan,1260000
2014,New Fairfield,294000
2014,New Hartford,179000
2014,New Haven,142875
2014,New London,127000
2014,New Milford,257500
2014,Newington,202000
2014,Newtown,365000
2014,Norfolk,275000
2014,North Branford,256800
2014,North Canaan,144900
2014,North Haven,265500
2014,North Stoningto,220000
2014,Norwalk,349000
2014,Norwich,89250
2014,Old Lyme,310000
2014,Old Saybrook,327000
2014,Orange,340000
2014,Oxford,309900
2014,Plainfield,154000
2014,Plainville,170000
