Town,Year,Crime Type,Measure_Type,Value
Andover,2010,Total Crime,Number,35
Andover,2010,Total Crime,"Rate (per 100,000)",1098.6
Andover,2010,Total Violent Crime,Number,1
Andover,2010,Total Violent Crime,"Rate (per 100,000)",31.4
Andover,2010,Total Property Crime,Number,34
Andover,2010,Total Property Crime,"Rate (per 100,000)",1067.2
Andover,2010,Aggravated Assault,Number,0
Andover,2010,Aggravated Assault,"Rate (per 100,000)",0
Andover,2010,Murder,Number,0
Andover,2010,Murder,"Rate (per 100,000)",0
Andover,2010,Rape,Number,0
Andover,2010,Rape,"Rate (per 100,000)",0
Andover,2010,Robbery,Number,1
Andover,2010,Robbery,"Rate (per 100,000)",31.4
Andover,2010,Burglary,Number,16
Andover,2010,Burglary,"Rate (per 100,000)",502.2
Andover,2010,Larceny,Number,17
Andover,2010,Larceny,"Rate (per 100,000)",533.6
Andover,2010,Motor Vehicle Theft,Number,1
Andover,2010,Motor Vehicle Theft,"Rate (per 100,000)",31.4
Andover,2010,Arson,Number,1
Andover,2010,Arson,"Rate (per 100,000)",31.4
Andover,2011,Total Crime,Number,26
Andover,2011,Total Crime,"Rate (per 100,000)",814.5
Andover,2011,Total Violent Crime,Number,1
Andover,2011,Total Violent Crime,"Rate (per 100,000)",31.3
Andover,2011,Total Property Crime,Number,25
Andover,2011,Total Property Crime,"Rate (per 100,000)",783.2
Andover,2011,Aggravated Assault,Number,0
Andover,2011,Aggravated Assault,"Rate (per 100,000)",0
Andover,2011,Murder,Number,0
Andover,2011,Murder,"Rate (per 100,000)",0
Andover,2011,Rape,Number,0
Andover,2011,Rape,"Rate (per 100,000)",0
Andover,2011,Robbery,Number,1
Andover,2011,Robbery,"Rate (per 100,000)",31.3
Andover,2011,Burglary,Number,18
Andover,2011,Burglary,"Rate (per 100,000)",563.9
Andover,2011,Larceny,Number,6
Andover,2011,Larceny,"Rate (per 100,000)",188
Andover,2011,Motor Vehicle Theft,Number,1
Andover,2011,Motor Vehicle Theft,"Rate (per 100,000)",31.3
Andover,2011,Arson,Number,0
Andover,2011,Arson,"Rate (per 100,000)",0
Andover,2012,Total Crime,Number,15
Andover,2012,Total Crime,"Rate (per 100,000)",468.6
Andover,2012,Total Violent Crime,Number,4
Andover,2012,Total Violent Crime,"Rate (per 100,000)",125
Andover,2012,Total Property Crime,Number,11
Andover,2012,Total Property Crime,"Rate (per 100,000)",343.6
Andover,2012,Aggravated Assault,Number,0
Andover,2012,Aggravated Assault,"Rate (per 100,000)",0
Andover,2012,Murder,Number,0
Andover,2012,Murder,"Rate (per 100,000)",0
Andover,2012,Rape,Number,2
Andover,2012,Rape,"Rate (per 100,000)",62.5
Andover,2012,Robbery,Number,2
Andover,2012,Robbery,"Rate (per 100,000)",62.5
Andover,2012,Burglary,Number,4
Andover,2012,Burglary,"Rate (per 100,000)",125
Andover,2012,Larceny,Number,6
Andover,2012,Larceny,"Rate (per 100,000)",187.4
Andover,2012,Motor Vehicle Theft,Number,1
Andover,2012,Motor Vehicle Theft,"Rate (per 100,000)",31.2
Andover,2012,Arson,Number,0
Andover,2012,Arson,"Rate (per 100,000)",0
Andover,2013,Total Crime,Number,14
Andover,2013,Total Crime,"Rate (per 100,000)",436.8
Andover,2013,Total Violent Crime,Number,2
Andover,2013,Total Violent Crime,"Rate (per 100,000)",62.4
Andover,2013,Total Property Crime,Number,12
Andover,2013,Total Property Crime,"Rate (per 100,000)",374.4
Andover,2013,Aggravated Assault,Number,1
Andover,2013,Aggravated Assault,"Rate (per 100,000)",31.2
Andover,2013,Murder,Number,0
Andover,2013,Murder,"Rate (per 100,000)",0
Andover,2013,Rape,Number,1
Andover,2013,Rape,"Rate (per 100,000)",31.2
Andover,2013,Robbery,Number,0
Andover,2013,Robbery,"Rate (per 100,000)",0
Andover,2013,Burglary,Number,7
Andover,2013,Burglary,"Rate (per 100,000)",218.4
Andover,2013,Larceny,Number,4
Andover,2013,Larceny,"Rate (per 100,000)",124.8
Andover,2013,Motor Vehicle Theft,Number,1
Andover,2013,Motor Vehicle Theft,"Rate (per 100,000)",31.2
Andover,2013,Arson,Number,1
Andover,2013,Arson,"Rate (per 100,000)",31.2
Andover,2014,Total Crime,Number,24
Andover,2014,Total Crime,"Rate (per 100,000)",749.3
Andover,2014,Total Violent Crime,Number,0
Andover,2014,Total Violent Crime,"Rate (per 100,000)",0
Andover,2014,Total Property Crime,Number,24
Andover,2014,Total Property Crime,"Rate (per 100,000)",749.3
Andover,2014,Aggravated Assault,Number,0
Andover,2014,Aggravated Assault,"Rate (per 100,000)",0
Andover,2014,Murder,Number,0
Andover,2014,Murder,"Rate (per 100,000)",0
Andover,2014,Rape,Number,0
Andover,2014,Rape,"Rate (per 100,000)",0
Andover,2014,Robbery,Number,0
Andover,2014,Robbery,"Rate (per 100,000)",0
Andover,2014,Burglary,Number,16
Andover,2014,Burglary,"Rate (per 100,000)",499.5
Andover,2014,Larceny,Number,7
Andover,2014,Larceny,"Rate (per 100,000)",218.5
Andover,2014,Motor Vehicle Theft,Number,1
Andover,2014,Motor Vehicle Theft,"Rate (per 100,000)",31.2
Andover,2014,Arson,Number,0
Andover,2014,Arson,"Rate (per 100,000)",0
Andover,2015,Total Crime,Number,10
Andover,2015,Total Crime,"Rate (per 100,000)",312.5
Andover,2015,Total Violent Crime,Number,1
Andover,2015,Total Violent Crime,"Rate (per 100,000)",31.2
Andover,2015,Total Property Crime,Number,9
Andover,2015,Total Property Crime,"Rate (per 100,000)",281.2
Andover,2015,Aggravated Assault,Number,0
Andover,2015,Aggravated Assault,"Rate (per 100,000)",0
Andover,2015,Murder,Number,1
Andover,2015,Murder,"Rate (per 100,000)",31.2
Andover,2015,Rape,Number,0
Andover,2015,Rape,"Rate (per 100,000)",0
Andover,2015,Robbery,Number,0
Andover,2015,Robbery,"Rate (per 100,000)",0
Andover,2015,Burglary,Number,3
Andover,2015,Burglary,"Rate (per 100,000)",93.8
Andover,2015,Larceny,Number,4
Andover,2015,Larceny,"Rate (per 100,000)",125
Andover,2015,Motor Vehicle Theft,Number,2
Andover,2015,Motor Vehicle Theft,"Rate (per 100,000)",62.5
Andover,2015,Arson,Number,0
Andover,2015,Arson,"Rate (per 100,000)",0
Andover,2016,Total Crime,Number,4
Andover,2016,Total Crime,"Rate (per 100,000)",125.3
Andover,2016,Total Violent Crime,Number,0
Andover,2016,Total Violent Crime,"Rate (per 100,000)",0
Andover,2016,Total Property Crime,Number,4
Andover,2016,Total Property Crime,"Rate (per 100,000)",125.3
Andover,2016,Aggravated Assault,Number,0
Andover,2016,Aggravated Assault,"Rate (per 100,000)",0
Andover,2016,Murder,Number,0
Andover,2016,Murder,"Rate (per 100,000)",0
Andover,2016,Rape,Number,0
Andover,2016,Rape,"Rate (per 100,000)",0
Andover,2016,Robbery,Number,0
Andover,2016,Robbery,"Rate (per 100,000)",0
Andover,2016,Burglary,Number,2
Andover,2016,Burglary,"Rate (per 100,000)",62.6
Andover,2016,Larceny,Number,2
Andover,2016,Larceny,"Rate (per 100,000)",62.6
Andover,2016,Motor Vehicle Theft,Number,0
Andover,2016,Motor Vehicle Theft,"Rate (per 100,000)",0
Andover,2016,Arson,Number,0
Andover,2016,Arson,"Rate (per 100,000)",0
Andover,2017,Total Crime,Number,8
Andover,2017,Total Crime,"Rate (per 100,000)",250.2
Andover,2017,Total Violent Crime,Number,0
Andover,2017,Total Violent Crime,"Rate (per 100,000)",0
Andover,2017,Total Property Crime,Number,8
Andover,2017,Total Property Crime,"Rate (per 100,000)",250.2
Andover,2017,Aggravated Assault,Number,0
Andover,2017,Aggravated Assault,"Rate (per 100,000)",0
Andover,2017,Murder,Number,0
Andover,2017,Murder,"Rate (per 100,000)",0
Andover,2017,Rape,Number,0
Andover,2017,Rape,"Rate (per 100,000)",0
Andover,2017,Robbery,Number,0
Andover,2017,Robbery,"Rate (per 100,000)",0
Andover,2017,Burglary,Number,4
Andover,2017,Burglary,"Rate (per 100,000)",125.1
Andover,2017,Larceny,Number,4
Andover,2017,Larceny,"Rate (per 100,000)",125.1
Andover,2017,Motor Vehicle Theft,Number,0
Andover,2017,Motor Vehicle Theft,"Rate (per 100,000)",0
Andover,2017,Arson,Number,0
Andover,2017,Arson,"Rate (per 100,000)",0
Ansonia,2010,Total Crime,Number,355
Ansonia,2010,Total Crime,"Rate (per 100,000)",1823.2
Ansonia,2010,Total Violent Crime,Number,28
Ansonia,2010,Total Violent Crime,"Rate (per 100,000)",143.8
Ansonia,2010,Total Property Crime,Number,327
Ansonia,2010,Total Property Crime,"Rate (per 100,000)",1679.4
Ansonia,2010,Aggravated Assault,Number,8
Ansonia,2010,Aggravated Assault,"Rate (per 100,000)",41.1
Ansonia,2010,Murder,Number,0
Ansonia,2010,Murder,"Rate (per 100,000)",0
Ansonia,2010,Rape,Number,2
Ansonia,2010,Rape,"Rate (per 100,000)",10.3
Ansonia,2010,Robbery,Number,18
Ansonia,2010,Robbery,"Rate (per 100,000)",92.4
Ansonia,2010,Burglary,Number,36
Ansonia,2010,Burglary,"Rate (per 100,000)",184.9
Ansonia,2010,Larceny,Number,252
Ansonia,2010,Larceny,"Rate (per 100,000)",1294.2
Ansonia,2010,Motor Vehicle Theft,Number,39
Ansonia,2010,Motor Vehicle Theft,"Rate (per 100,000)",200.3
Ansonia,2010,Arson,Number,3
Ansonia,2010,Arson,"Rate (per 100,000)",15.4
Ansonia,2011,Total Crime,Number,405
Ansonia,2011,Total Crime,"Rate (per 100,000)",2076.2
Ansonia,2011,Total Violent Crime,Number,31
Ansonia,2011,Total Violent Crime,"Rate (per 100,000)",158.9
Ansonia,2011,Total Property Crime,Number,374
Ansonia,2011,Total Property Crime,"Rate (per 100,000)",1917.3
Ansonia,2011,Aggravated Assault,Number,7
Ansonia,2011,Aggravated Assault,"Rate (per 100,000)",35.9
Ansonia,2011,Murder,Number,2
Ansonia,2011,Murder,"Rate (per 100,000)",10.3
Ansonia,2011,Rape,Number,3
Ansonia,2011,Rape,"Rate (per 100,000)",15.4
Ansonia,2011,Robbery,Number,19
Ansonia,2011,Robbery,"Rate (per 100,000)",97.4
Ansonia,2011,Burglary,Number,49
Ansonia,2011,Burglary,"Rate (per 100,000)",251.2
Ansonia,2011,Larceny,Number,284
Ansonia,2011,Larceny,"Rate (per 100,000)",1455.9
Ansonia,2011,Motor Vehicle Theft,Number,41
Ansonia,2011,Motor Vehicle Theft,"Rate (per 100,000)",210.2
Ansonia,2011,Arson,Number,3
Ansonia,2011,Arson,"Rate (per 100,000)",15.4
Ansonia,2012,Total Crime,Number,485
Ansonia,2012,Total Crime,"Rate (per 100,000)",2479.6
Ansonia,2012,Total Violent Crime,Number,29
Ansonia,2012,Total Violent Crime,"Rate (per 100,000)",148.3
Ansonia,2012,Total Property Crime,Number,456
Ansonia,2012,Total Property Crime,"Rate (per 100,000)",2331.3
Ansonia,2012,Aggravated Assault,Number,10
Ansonia,2012,Aggravated Assault,"Rate (per 100,000)",51.1
Ansonia,2012,Murder,Number,0
Ansonia,2012,Murder,"Rate (per 100,000)",0
Ansonia,2012,Rape,Number,4
Ansonia,2012,Rape,"Rate (per 100,000)",20.4
Ansonia,2012,Robbery,Number,15
Ansonia,2012,Robbery,"Rate (per 100,000)",76.7
Ansonia,2012,Burglary,Number,81
Ansonia,2012,Burglary,"Rate (per 100,000)",414.1
Ansonia,2012,Larceny,Number,317
Ansonia,2012,Larceny,"Rate (per 100,000)",1620.7
Ansonia,2012,Motor Vehicle Theft,Number,58
Ansonia,2012,Motor Vehicle Theft,"Rate (per 100,000)",296.5
Ansonia,2012,Arson,Number,1
Ansonia,2012,Arson,"Rate (per 100,000)",5.1
Ansonia,2013,Total Crime,Number,427
Ansonia,2013,Total Crime,"Rate (per 100,000)",2180.5
Ansonia,2013,Total Violent Crime,Number,33
Ansonia,2013,Total Violent Crime,"Rate (per 100,000)",168.5
Ansonia,2013,Total Property Crime,Number,394
Ansonia,2013,Total Property Crime,"Rate (per 100,000)",2011.9
Ansonia,2013,Aggravated Assault,Number,12
Ansonia,2013,Aggravated Assault,"Rate (per 100,000)",61.3
Ansonia,2013,Murder,Number,0
Ansonia,2013,Murder,"Rate (per 100,000)",0
Ansonia,2013,Rape,Number,5
Ansonia,2013,Rape,"Rate (per 100,000)",25.5
Ansonia,2013,Robbery,Number,16
Ansonia,2013,Robbery,"Rate (per 100,000)",81.7
Ansonia,2013,Burglary,Number,59
Ansonia,2013,Burglary,"Rate (per 100,000)",301.3
Ansonia,2013,Larceny,Number,285
Ansonia,2013,Larceny,"Rate (per 100,000)",1455.3
Ansonia,2013,Motor Vehicle Theft,Number,50
Ansonia,2013,Motor Vehicle Theft,"Rate (per 100,000)",255.3
Ansonia,2013,Arson,Number,1
Ansonia,2013,Arson,"Rate (per 100,000)",5.1
Ansonia,2014,Total Crime,Number,410
Ansonia,2014,Total Crime,"Rate (per 100,000)",2095.2
Ansonia,2014,Total Violent Crime,Number,36
Ansonia,2014,Total Violent Crime,"Rate (per 100,000)",184
Ansonia,2014,Total Property Crime,Number,374
Ansonia,2014,Total Property Crime,"Rate (per 100,000)",1911.2
Ansonia,2014,Aggravated Assault,Number,12
Ansonia,2014,Aggravated Assault,"Rate (per 100,000)",61.3
Ansonia,2014,Murder,Number,0
Ansonia,2014,Murder,"Rate (per 100,000)",0
Ansonia,2014,Rape,Number,6
Ansonia,2014,Rape,"Rate (per 100,000)",30.7
Ansonia,2014,Robbery,Number,18
Ansonia,2014,Robbery,"Rate (per 100,000)",92
Ansonia,2014,Burglary,Number,62
Ansonia,2014,Burglary,"Rate (per 100,000)",316.8
Ansonia,2014,Larceny,Number,282
Ansonia,2014,Larceny,"Rate (per 100,000)",1441.1
Ansonia,2014,Motor Vehicle Theft,Number,30
Ansonia,2014,Motor Vehicle Theft,"Rate (per 100,000)",153.3
Ansonia,2014,Arson,Number,2
Ansonia,2014,Arson,"Rate (per 100,000)",10.2
Ansonia,2015,Total Crime,Number,380
Ansonia,2015,Total Crime,"Rate (per 100,000)",1943.9
Ansonia,2015,Total Violent Crime,Number,25
Ansonia,2015,Total Violent Crime,"Rate (per 100,000)",127.9
Ansonia,2015,Total Property Crime,Number,355
Ansonia,2015,Total Property Crime,"Rate (per 100,000)",1816
Ansonia,2015,Aggravated Assault,Number,8
Ansonia,2015,Aggravated Assault,"Rate (per 100,000)",40.9
Ansonia,2015,Murder,Number,0
Ansonia,2015,Murder,"Rate (per 100,000)",0
Ansonia,2015,Rape,Number,5
Ansonia,2015,Rape,"Rate (per 100,000)",25.6
Ansonia,2015,Robbery,Number,12
Ansonia,2015,Robbery,"Rate (per 100,000)",61.4
Ansonia,2015,Burglary,Number,47
Ansonia,2015,Burglary,"Rate (per 100,000)",240.4
Ansonia,2015,Larceny,Number,269
Ansonia,2015,Larceny,"Rate (per 100,000)",1376.1
Ansonia,2015,Motor Vehicle Theft,Number,39
Ansonia,2015,Motor Vehicle Theft,"Rate (per 100,000)",199.5
Ansonia,2015,Arson,Number,0
Ansonia,2015,Arson,"Rate (per 100,000)",0
Ansonia,2016,Total Crime,Number,360
Ansonia,2016,Total Crime,"Rate (per 100,000)",1845.9
Ansonia,2016,Total Violent Crime,Number,27
Ansonia,2016,Total Violent Crime,"Rate (per 100,000)",138.4
Ansonia,2016,Total Property Crime,Number,333
Ansonia,2016,Total Property Crime,"Rate (per 100,000)",1707.4
Ansonia,2016,Aggravated Assault,Number,13
Ansonia,2016,Aggravated Assault,"Rate (per 100,000)",66.7
Ansonia,2016,Murder,Number,0
Ansonia,2016,Murder,"Rate (per 100,000)",0
Ansonia,2016,Rape,Number,3
Ansonia,2016,Rape,"Rate (per 100,000)",15.4
Ansonia,2016,Robbery,Number,11
Ansonia,2016,Robbery,"Rate (per 100,000)",56.4
Ansonia,2016,Burglary,Number,47
Ansonia,2016,Burglary,"Rate (per 100,000)",241
Ansonia,2016,Larceny,Number,245
Ansonia,2016,Larceny,"Rate (per 100,000)",1256.2
Ansonia,2016,Motor Vehicle Theft,Number,41
Ansonia,2016,Motor Vehicle Theft,"Rate (per 100,000)",210.2
Ansonia,2016,Arson,Number,1
Ansonia,2016,Arson,"Rate (per 100,000)",5.1
Ansonia,2017,Total Crime,Number,378
Ansonia,2017,Total Crime,"Rate (per 100,000)",1935.5
Ansonia,2017,Total Violent Crime,Number,22
Ansonia,2017,Total Violent Crime,"Rate (per 100,000)",112.6
Ansonia,2017,Total Property Crime,Number,356
Ansonia,2017,Total Property Crime,"Rate (per 100,000)",1822.8
Ansonia,2017,Aggravated Assault,Number,13
Ansonia,2017,Aggravated Assault,"Rate (per 100,000)",66.6
Ansonia,2017,Murder,Number,0
Ansonia,2017,Murder,"Rate (per 100,000)",0
Ansonia,2017,Rape,Number,6
Ansonia,2017,Rape,"Rate (per 100,000)",30.7
Ansonia,2017,Robbery,Number,3
Ansonia,2017,Robbery,"Rate (per 100,000)",15.4
Ansonia,2017,Burglary,Number,23
Ansonia,2017,Burglary,"Rate (per 100,000)",117.8
Ansonia,2017,Larceny,Number,284
Ansonia,2017,Larceny,"Rate (per 100,000)",1454.2
Ansonia,2017,Motor Vehicle Theft,Number,49
Ansonia,2017,Motor Vehicle Theft,"Rate (per 100,000)",250.9
Ansonia,2017,Arson,Number,1
Ansonia,2017,Arson,"Rate (per 100,000)",5.1
Ashford,2010,Total Crime,Number,34
Ashford,2010,Total Crime,"Rate (per 100,000)",790.7
Ashford,2010,Total Violent Crime,Number,3
Ashford,2010,Total Violent Crime,"Rate (per 100,000)",69.8
Ashford,2010,Total Property Crime,Number,31
Ashford,2010,Total Property Crime,"Rate (per 100,000)",720.9
Ashford,2010,Aggravated Assault,Number,2
Ashford,2010,Aggravated Assault,"Rate (per 100,000)",46.5
Ashford,2010,Murder,Number,0
Ashford,2010,Murder,"Rate (per 100,000)",0
Ashford,2010,Rape,Number,0
Ashford,2010,Rape,"Rate (per 100,000)",0
Ashford,2010,Robbery,Number,1
Ashford,2010,Robbery,"Rate (per 100,000)",23.3
Ashford,2010,Burglary,Number,17
Ashford,2010,Burglary,"Rate (per 100,000)",395.3
Ashford,2010,Larceny,Number,4
Ashford,2010,Larceny,"Rate (per 100,000)",93
Ashford,2010,Motor Vehicle Theft,Number,10
Ashford,2010,Motor Vehicle Theft,"Rate (per 100,000)",232.6
Ashford,2010,Arson,Number,0
Ashford,2010,Arson,"Rate (per 100,000)",0
Ashford,2011,Total Crime,Number,23
Ashford,2011,Total Crime,"Rate (per 100,000)",533.9
Ashford,2011,Total Violent Crime,Number,3
Ashford,2011,Total Violent Crime,"Rate (per 100,000)",69.6
Ashford,2011,Total Property Crime,Number,20
Ashford,2011,Total Property Crime,"Rate (per 100,000)",464.3
Ashford,2011,Aggravated Assault,Number,2
Ashford,2011,Aggravated Assault,"Rate (per 100,000)",46.4
Ashford,2011,Murder,Number,0
Ashford,2011,Murder,"Rate (per 100,000)",0
Ashford,2011,Rape,Number,0
Ashford,2011,Rape,"Rate (per 100,000)",0
Ashford,2011,Robbery,Number,1
Ashford,2011,Robbery,"Rate (per 100,000)",23.2
Ashford,2011,Burglary,Number,10
Ashford,2011,Burglary,"Rate (per 100,000)",232.1
Ashford,2011,Larceny,Number,9
Ashford,2011,Larceny,"Rate (per 100,000)",208.9
Ashford,2011,Motor Vehicle Theft,Number,1
Ashford,2011,Motor Vehicle Theft,"Rate (per 100,000)",23.2
Ashford,2011,Arson,Number,0
Ashford,2011,Arson,"Rate (per 100,000)",0
Ashford,2012,Total Crime,Number,19
Ashford,2012,Total Crime,"Rate (per 100,000)",439.8
Ashford,2012,Total Violent Crime,Number,2
Ashford,2012,Total Violent Crime,"Rate (per 100,000)",46.3
Ashford,2012,Total Property Crime,Number,17
Ashford,2012,Total Property Crime,"Rate (per 100,000)",393.5
Ashford,2012,Aggravated Assault,Number,2
Ashford,2012,Aggravated Assault,"Rate (per 100,000)",46.3
Ashford,2012,Murder,Number,0
Ashford,2012,Murder,"Rate (per 100,000)",0
Ashford,2012,Rape,Number,0
Ashford,2012,Rape,"Rate (per 100,000)",0
Ashford,2012,Robbery,Number,0
Ashford,2012,Robbery,"Rate (per 100,000)",0
Ashford,2012,Burglary,Number,9
Ashford,2012,Burglary,"Rate (per 100,000)",208.3
Ashford,2012,Larceny,Number,8
Ashford,2012,Larceny,"Rate (per 100,000)",185.2
Ashford,2012,Motor Vehicle Theft,Number,0
Ashford,2012,Motor Vehicle Theft,"Rate (per 100,000)",0
Ashford,2012,Arson,Number,0
Ashford,2012,Arson,"Rate (per 100,000)",0
Ashford,2013,Total Crime,Number,26
Ashford,2013,Total Crime,"Rate (per 100,000)",601.2
Ashford,2013,Total Violent Crime,Number,3
Ashford,2013,Total Violent Crime,"Rate (per 100,000)",69.4
Ashford,2013,Total Property Crime,Number,23
Ashford,2013,Total Property Crime,"Rate (per 100,000)",531.8
Ashford,2013,Aggravated Assault,Number,2
Ashford,2013,Aggravated Assault,"Rate (per 100,000)",46.2
Ashford,2013,Murder,Number,0
Ashford,2013,Murder,"Rate (per 100,000)",0
Ashford,2013,Rape,Number,1
Ashford,2013,Rape,"Rate (per 100,000)",23.1
Ashford,2013,Robbery,Number,0
Ashford,2013,Robbery,"Rate (per 100,000)",0
Ashford,2013,Burglary,Number,12
Ashford,2013,Burglary,"Rate (per 100,000)",277.5
Ashford,2013,Larceny,Number,11
Ashford,2013,Larceny,"Rate (per 100,000)",254.3
Ashford,2013,Motor Vehicle Theft,Number,0
Ashford,2013,Motor Vehicle Theft,"Rate (per 100,000)",0
Ashford,2013,Arson,Number,0
Ashford,2013,Arson,"Rate (per 100,000)",0
Ashford,2014,Total Crime,Number,30
Ashford,2014,Total Crime,"Rate (per 100,000)",694.1
Ashford,2014,Total Violent Crime,Number,3
Ashford,2014,Total Violent Crime,"Rate (per 100,000)",69.4
Ashford,2014,Total Property Crime,Number,27
Ashford,2014,Total Property Crime,"Rate (per 100,000)",624.7
Ashford,2014,Aggravated Assault,Number,2
Ashford,2014,Aggravated Assault,"Rate (per 100,000)",46.3
Ashford,2014,Murder,Number,0
Ashford,2014,Murder,"Rate (per 100,000)",0
Ashford,2014,Rape,Number,1
Ashford,2014,Rape,"Rate (per 100,000)",23.1
Ashford,2014,Robbery,Number,0
Ashford,2014,Robbery,"Rate (per 100,000)",0
Ashford,2014,Burglary,Number,12
Ashford,2014,Burglary,"Rate (per 100,000)",277.6
Ashford,2014,Larceny,Number,13
Ashford,2014,Larceny,"Rate (per 100,000)",300.8
Ashford,2014,Motor Vehicle Theft,Number,2
Ashford,2014,Motor Vehicle Theft,"Rate (per 100,000)",46.3
Ashford,2014,Arson,Number,0
Ashford,2014,Arson,"Rate (per 100,000)",0
Ashford,2015,Total Crime,Number,18
Ashford,2015,Total Crime,"Rate (per 100,000)",417
Ashford,2015,Total Violent Crime,Number,3
Ashford,2015,Total Violent Crime,"Rate (per 100,000)",69.5
Ashford,2015,Total Property Crime,Number,15
Ashford,2015,Total Property Crime,"Rate (per 100,000)",347.5
Ashford,2015,Aggravated Assault,Number,2
Ashford,2015,Aggravated Assault,"Rate (per 100,000)",46.3
Ashford,2015,Murder,Number,0
Ashford,2015,Murder,"Rate (per 100,000)",0
Ashford,2015,Rape,Number,0
Ashford,2015,Rape,"Rate (per 100,000)",0
Ashford,2015,Robbery,Number,1
Ashford,2015,Robbery,"Rate (per 100,000)",23.2
Ashford,2015,Burglary,Number,8
Ashford,2015,Burglary,"Rate (per 100,000)",185.3
Ashford,2015,Larceny,Number,6
Ashford,2015,Larceny,"Rate (per 100,000)",139
Ashford,2015,Motor Vehicle Theft,Number,1
Ashford,2015,Motor Vehicle Theft,"Rate (per 100,000)",23.2
Ashford,2015,Arson,Number,0
Ashford,2015,Arson,"Rate (per 100,000)",0
Ashford,2016,Total Crime,Number,19
Ashford,2016,Total Crime,"Rate (per 100,000)",441.1
Ashford,2016,Total Violent Crime,Number,2
Ashford,2016,Total Violent Crime,"Rate (per 100,000)",46.4
Ashford,2016,Total Property Crime,Number,17
Ashford,2016,Total Property Crime,"Rate (per 100,000)",394.7
Ashford,2016,Aggravated Assault,Number,1
Ashford,2016,Aggravated Assault,"Rate (per 100,000)",23.2
Ashford,2016,Murder,Number,0
Ashford,2016,Murder,"Rate (per 100,000)",0
Ashford,2016,Rape,Number,1
Ashford,2016,Rape,"Rate (per 100,000)",23.2
Ashford,2016,Robbery,Number,0
Ashford,2016,Robbery,"Rate (per 100,000)",0
Ashford,2016,Burglary,Number,4
Ashford,2016,Burglary,"Rate (per 100,000)",92.9
Ashford,2016,Larceny,Number,8
Ashford,2016,Larceny,"Rate (per 100,000)",185.7
Ashford,2016,Motor Vehicle Theft,Number,5
Ashford,2016,Motor Vehicle Theft,"Rate (per 100,000)",116.1
Ashford,2016,Arson,Number,0
Ashford,2016,Arson,"Rate (per 100,000)",0
Ashford,2017,Total Crime,Number,30
Ashford,2017,Total Crime,"Rate (per 100,000)",695.6
Ashford,2017,Total Violent Crime,Number,1
Ashford,2017,Total Violent Crime,"Rate (per 100,000)",23.2
Ashford,2017,Total Property Crime,Number,29
Ashford,2017,Total Property Crime,"Rate (per 100,000)",672.4
Ashford,2017,Aggravated Assault,Number,1
Ashford,2017,Aggravated Assault,"Rate (per 100,000)",23.2
Ashford,2017,Murder,Number,0
Ashford,2017,Murder,"Rate (per 100,000)",0
Ashford,2017,Rape,Number,0
Ashford,2017,Rape,"Rate (per 100,000)",0
Ashford,2017,Robbery,Number,0
Ashford,2017,Robbery,"Rate (per 100,000)",0
Ashford,2017,Burglary,Number,8
Ashford,2017,Burglary,"Rate (per 100,000)",185.5
Ashford,2017,Larceny,Number,16
Ashford,2017,Larceny,"Rate (per 100,000)",371
Ashford,2017,Motor Vehicle Theft,Number,5
Ashford,2017,Motor Vehicle Theft,"Rate (per 100,000)",115.9
Ashford,2017,Arson,Number,0
Ashford,2017,Arson,"Rate (per 100,000)",0
Avon,2010,Total Crime,Number,192
Avon,2010,Total Crime,"Rate (per 100,000)",1155.7
Avon,2010,Total Violent Crime,Number,6
Avon,2010,Total Violent Crime,"Rate (per 100,000)",36.1
Avon,2010,Total Property Crime,Number,186
Avon,2010,Total Property Crime,"Rate (per 100,000)",1119.6
Avon,2010,Aggravated Assault,Number,4
Avon,2010,Aggravated Assault,"Rate (per 100,000)",24.1
Avon,2010,Murder,Number,0
Avon,2010,Murder,"Rate (per 100,000)",0
Avon,2010,Rape,Number,1
Avon,2010,Rape,"Rate (per 100,000)",6
Avon,2010,Robbery,Number,1
Avon,2010,Robbery,"Rate (per 100,000)",6
Avon,2010,Burglary,Number,38
Avon,2010,Burglary,"Rate (per 100,000)",228.7
Avon,2010,Larceny,Number,147
Avon,2010,Larceny,"Rate (per 100,000)",884.8
Avon,2010,Motor Vehicle Theft,Number,1
Avon,2010,Motor Vehicle Theft,"Rate (per 100,000)",6
Avon,2010,Arson,Number,1
Avon,2010,Arson,"Rate (per 100,000)",6
Avon,2011,Total Crime,Number,181
Avon,2011,Total Crime,"Rate (per 100,000)",1087.5
Avon,2011,Total Violent Crime,Number,0
Avon,2011,Total Violent Crime,"Rate (per 100,000)",0
Avon,2011,Total Property Crime,Number,181
Avon,2011,Total Property Crime,"Rate (per 100,000)",1087.5
Avon,2011,Aggravated Assault,Number,0
Avon,2011,Aggravated Assault,"Rate (per 100,000)",0
Avon,2011,Murder,Number,0
Avon,2011,Murder,"Rate (per 100,000)",0
Avon,2011,Rape,Number,0
Avon,2011,Rape,"Rate (per 100,000)",0
Avon,2011,Robbery,Number,0
Avon,2011,Robbery,"Rate (per 100,000)",0
Avon,2011,Burglary,Number,29
Avon,2011,Burglary,"Rate (per 100,000)",174.2
Avon,2011,Larceny,Number,150
Avon,2011,Larceny,"Rate (per 100,000)",901.2
