Town,Year,CityType,Population,BirthsRate,DeathsRate
 Bethlehem         ,2015,Town,3473,0.66,0.49
 Bloomfield        ,2015,LargeTown,20749,0.75,1.19
 Bolton            ,2015,Town,4947,0.75,0.44
 Bozrah            ,2015,Town,2603,0.81,1.19
 Branford          ,2015,LargeTown,28145,0.78,1.18
 Bridgeport        ,2015,City,147629,1.39,0.66
 Bridgewater       ,2015,Town,1659,0.18,1.02
 Bristol           ,2015,LargeTown,60452,1.07,0.98
 Brookfield        ,2015,Town,17143,0.8,0.57
 Brooklyn          ,2015,Town,8259,0.62,0.96
 Burlington        ,2015,Town,9623,0.71,0.55
 Canaan            ,2015,Town,1185,0.42,1.18
 Canterbury        ,2015,Town,5089,0.67,0.77
 Canton            ,2015,Town,10330,0.51,0.63
 Chaplin           ,2015,Town,2255,0.31,1.02
 Cheshire          ,2015,LargeTown,29262,0.57,0.89
 Chester           ,2015,Town,4277,0.56,1.15
 Clinton           ,2015,Town,13047,0.72,0.91
 Colchester        ,2015,Town,16130,0.79,0.69
 Colebrook         ,2015,Town,1436,0.49,0.77
 Columbia          ,2015,Town,5434,0.72,0.63
 Cornwall          ,2015,Town,1387,0.29,0.94
 Coventry          ,2015,Town,12438,0.99,0.55
 Cromwell          ,2015,Town,14034,0.97,1.05
 Danbury           ,2015,LargeTown,84657,1.26,0.68
 Darien            ,2015,LargeTown,21787,0.96,0.54
 Deep River        ,2015,Town,4516,0.71,0.82
 Derby             ,2015,Town,12700,1.02,1.02
 Durham            ,2015,Town,7301,0.6,0.7
 Eastford          ,2015,Town,1750,0.8,0.57
 East Granby       ,2015,Town,5199,0.79,0.58
 East Haddam       ,2015,Town,9081,0.91,0.66
 East Hampton      ,2015,Town,12858,0.77,0.81
 East Hartford     ,2015,LargeTown,50821,1.25,0.88
 East Haven        ,2015,LargeTown,28935,0.96,1.15
 East Lyme         ,2015,Town,19343,0.59,0.89
 Easton            ,2015,Town,7625,0.62,0.6
 East Windsor      ,2015,Town,11400,0.92,1.04
 Ellington         ,2015,Town,15916,0.86,0.58
 Enfield           ,2015,LargeTown,44323,0.86,0.9
 Essex             ,2015,Town,6586,0.55,1.23
 Fairfield         ,2015,LargeTown,61523,0.83,0.78
 Farmington        ,2015,LargeTown,25629,0.8,0.97
 Franklin          ,2015,Town,1975,0.66,0.41
 Glastonbury       ,2015,LargeTown,34678,0.71,0.87
 Goshen            ,2015,Town,2904,0.52,0.86
 Granby            ,2015,Town,11298,0.73,0.75
 Greenwich         ,2015,LargeTown,62695,0.89,0.72
 Griswold          ,2015,Town,11830,0.85,0.74
 Groton            ,2015,LargeTown,39692,1.27,0.71
 Guilford          ,2015,LargeTown,22350,0.55,0.8
 Haddam            ,2015,Town,8292,0.8,0.82
 Hamden            ,2015,LargeTown,61218,0.92,1.01
 Hampton           ,2015,Town,1849,0.59,0.65
 Hartford          ,2015,City,124006,1.48,0.72
 Hartland          ,2015,Town,2127,0.47,0.61
 Harwinton         ,2015,Town,5493,0.64,0.66
 Hebron            ,2015,Town,9552,0.57,0.49
 Kent              ,2015,Town,2869,0.45,1.05
 Killingly         ,2015,Town,17131,1.08,1.22
 Killingworth      ,2015,Town,6455,0.81,0.76
 Lebanon           ,2015,Town,7259,0.7,0.81
 Ledyard           ,2015,Town,15025,1.02,0.74
 Lisbon            ,2015,Town,4310,0.74,0.86
 Litchfield        ,2015,Town,8212,0.63,1.24
 Lyme              ,2015,Town,2374,0.72,1.1
 Madison           ,2015,Town,18223,0.52,0.82
 Manchester        ,2015,LargeTown,58007,1.34,0.83
 Mansfield         ,2015,LargeTown,26043,0.33,0.39
 Marlborough       ,2015,Town,6430,0.67,0.64
 Meriden           ,2015,LargeTown,59988,1.21,0.95
 Middlebury        ,2015,Town,7634,0.67,1.11
 Middlefield       ,2015,Town,4407,0.7,0.98
 Middletown        ,2015,LargeTown,46756,1.06,0.92
 Milford           ,2015,LargeTown,53592,0.79,0.94
 Monroe            ,2015,Town,19833,0.72,0.61
 Montville         ,2015,Town,19396,0.96,0.87
 Morris            ,2015,Town,2293,0.44,1.09
 Naugatuck         ,2015,LargeTown,31538,1.06,0.93
 New Britain       ,2015,LargeTown,72808,1.43,0.92
 New Canaan        ,2015,LargeTown,20387,0.66,0.62
 New Fairfield     ,2015,Town,14126,0.67,0.59
 New Hartford      ,2015,Town,6764,0.55,0.68
 New Haven         ,2015,City,130322,1.34,0.62
 Newington         ,2015,LargeTown,30604,0.86,1.05
 New London        ,2015,LargeTown,27179,1.23,0.82
 New Milford       ,2015,LargeTown,27276,0.92,0.74
 Newtown           ,2015,LargeTown,28022,0.71,0.68
 Norfolk           ,2015,Town,1643,0.55,1.22
 North Branford    ,2015,Town,14263,0.73,0.98
 North Canaan      ,2015,Town,3194,0.94,1.94
 North Haven       ,2015,LargeTown,23828,0.79,1.05
 North Stonington  ,2015,Town,5256,0.57,0.7
 Norwalk           ,2015,LargeTown,88485,1.3,0.64
 Norwich           ,2015,LargeTown,39899,1.28,0.89
 Old Lyme          ,2015,Town,7521,0.47,1.01
 Old Saybrook      ,2015,Town,10160,0.28,1.26
 Orange            ,2015,Town,13944,0.7,0.83
 Oxford            ,2015,Town,13013,0.76,0.64
 Plainfield        ,2015,Town,15077,1.01,0.85
 Plainville        ,2015,Town,17773,0.87,0.88
 Plymouth          ,2015,Town,11813,0.87,0.91
 Pomfret           ,2015,Town,4163,0.43,0.6
 Portland          ,2015,Town,9391,0.79,0.84
 Preston           ,2015,Town,4707,0.66,1.08
 Prospect          ,2015,Town,9739,0.69,1.11
 Putnam            ,2015,Town,9372,1.15,1.2
 Redding           ,2015,Town,9293,0.62,0.82
 Ridgefield        ,2015,LargeTown,25244,0.61,0.61
 Rocky Hill        ,2015,LargeTown,20021,0.98,1.08
 Roxbury           ,2015,Town,2187,0.5,0.59
 Salem             ,2015,Town,4183,0.81,0.41
 Salisbury         ,2015,Town,3638,0.66,1.32
 Scotland          ,2015,Town,1686,0.83,0.47
 Seymour           ,2015,Town,16475,1.1,1.05
 Sharon            ,2015,Town,2706,0.22,1.22
 Shelton           ,2015,LargeTown,41296,0.77,0.95
 Sherman           ,2015,Town,3668,0.55,0.71
 Simsbury          ,2015,LargeTown,24348,0.8,0.79
 Somers            ,2015,Town,11432,0.52,0.67
 Southbury         ,2015,Town,19675,0.47,1.74
 Southington       ,2015,LargeTown,43817,0.87,0.95
 South Windsor     ,2015,LargeTown,25789,0.81,0.85
 Sprague           ,2015,Town,2951,1.25,0.81
 Stafford          ,2015,Town,11837,0.92,0.93
 Stamford          ,2015,City,128874,1.45,0.64
 Sterling          ,2015,Town,3764,0.82,0.69
 Stonington        ,2015,Town,18370,0.61,1.54
 Stratford         ,2015,LargeTown,52609,0.95,1.08
 Suffield          ,2015,Town,15662,0.68,0.84
 Thomaston         ,2015,Town,7621,0.76,0.93
 Thompson          ,2015,Town,9290,0.81,0.86
 Tolland           ,2015,Town,14849,0.7,0.73
 Torrington        ,2015,LargeTown,34906,1.05,1.15
 Trumbull          ,2015,LargeTown,36628,0.88,1.05
 Union             ,2015,Town,843,0.24,0.95
 Vernon            ,2015,LargeTown,28959,1.14,0.92
 Voluntown         ,2015,Town,2579,0.85,0.74
 Wallingford       ,2015,LargeTown,44893,0.87,1.19
 Warren            ,2015,Town,1417,0.35,0.78
 Washington        ,2015,Town,3466,0.66,0.63
 Waterbury         ,2015,City,108802,1.48,0.93
 Waterford         ,2015,Town,19281,0.69,1.23
 Watertown         ,2015,LargeTown,21911,0.78,0.99
 Westbrook         ,2015,Town,6902,0.57,1.06
 West Hartford     ,2015,LargeTown,63053,0.91,1.02
 West Haven        ,2015,LargeTown,54927,1.13,0.81
 Weston            ,2015,Town,10387,0.6,0.32
 Westport          ,2015,LargeTown,27899,0.56,0.61
 Wethersfield      ,2015,LargeTown,26367,0.86,1.05
 Willington        ,2015,Town,5908,0.52,0.74
 Wilton            ,2015,Town,18714,0.73,0.79
 Winchester        ,2015,Town,10829,0.78,1.16
 Windham           ,2015,LargeTown,24799,1.16,0.87
 Windsor           ,2015,LargeTown,29016,0.85,0.84
 Windsor Locks     ,2015,Town,12537,0.78,1.09
 Wolcott           ,2015,Town,16673,0.64,0.93
 Woodbridge        ,2015,Town,8886,0.69,1.14
 Woodbury          ,2015,Town,9636,0.68,0.84
 Woodstock         ,2015,Town,7838,0.73,0.73
